Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date GMT+0
BTCUSDT,1676419200000,22199.84,24380.0,22047.28,24324.05,375669.16111,1676505599999,8604133693.663172,8335550,190798.1552,4372346767.103614,0,2023-02-15
ETHUSDT,1676419200000,1555.7,1680.0,1542.55,1674.92,581207.8586,1676505599999,928452953.9450489,852734,303747.759,485366943.877121,0,2023-02-15
BNBUSDT,1676419200000,296.2,317.7,294.0,317.4,465921.943,1676505599999,142051141.657,261857,248783.126,75882418.3134,0,2023-02-15
NEOUSDT,1676419200000,8.69,9.29,8.6,9.28,352715.25,1676505599999,3133581.5932,19264,167119.72,1486240.1807,0,2023-02-15
LTCUSDT,1676419200000,95.82,103.28,95.04,102.82,764436.261,1676505599999,75152233.52555,174466,406463.947,39926317.45086,0,2023-02-15
QTUMUSDT,1676419200000,2.686,2.877,2.642,2.875,591251.6,1676505599999,1626015.9947,14062,285980.0,785280.6493,0,2023-02-15
ADAUSDT,1676419200000,0.3868,0.42,0.3819,0.419,151591225.3,1676505599999,59778979.44605,154132,82923592.9,32705015.23449,0,2023-02-15
XRPUSDT,1676419200000,0.3819,0.4024,0.3765,0.4011,370966882.0,1676505599999,143859246.6086,150550,183280682.0,71037186.5248,0,2023-02-15
EOSUSDT,1676419200000,1.048,1.101,1.037,1.099,9741413.9,1676505599999,10357212.2108,28372,4893557.2,5208043.9394,0,2023-02-15
IOTAUSDT,1676419200000,0.2329,0.2483,0.2307,0.248,11836533.0,1676505599999,2831190.4096,19473,5911887.0,1414166.4632,0,2023-02-15
XLMUSDT,1676419200000,0.086,0.0903,0.0835,0.0902,69365488.0,1676505599999,6023324.6588,19701,33481148.0,2908724.1242,0,2023-02-15
ONTUSDT,1676419200000,0.2222,0.2369,0.2187,0.2368,11959154.0,1676505599999,2703688.575,15487,5767941.0,1303918.2218,0,2023-02-15
TRXUSDT,1676419200000,0.06674,0.071,0.06673,0.07085,610300473.2,1676505599999,42112253.583609,137708,310595480.9,21432970.437406,0,2023-02-15
ETCUSDT,1676419200000,21.23,22.48,20.89,22.47,1113285.13,1676505599999,23966526.8831,53874,583807.14,12561661.8469,0,2023-02-15
ICXUSDT,1676419200000,0.2173,0.2354,0.2149,0.2353,6920058.9,1676505599999,1537750.3459,10445,3441973.7,764538.87302,0,2023-02-15
NULSUSDT,1676419200000,0.2824,0.2865,0.2731,0.2859,6714919.0,1676505599999,1871350.1524,9242,3036989.0,848179.4477,0,2023-02-15
VETUSDT,1676419200000,0.02384,0.02568,0.02339,0.02567,406613153.1,1676505599999,9973892.025399,47001,202142352.5,4965792.516039,0,2023-02-15
LINKUSDT,1676419200000,6.808,7.31,6.726,7.281,5174614.29,1676505599999,36181020.0506,101980,2535906.99,17716584.26656,0,2023-02-15
WAVESUSDT,1676419200000,2.428,2.604,2.37,2.592,3024052.28,1676505599999,7453765.62465,31832,1475648.85,3638623.48184,0,2023-02-15
ONGUSDT,1676419200000,0.2967,0.3158,0.2946,0.3153,1507567.0,1676505599999,460552.1438,4305,770239.0,235555.7287,0,2023-02-15
HOTUSDT,1676419200000,0.002119,0.002249,0.002097,0.002248,1552025572.0,1676505599999,3360792.195714,20763,712459728.0,1544345.825572,0,2023-02-15
ZILUSDT,1676419200000,0.02962,0.03196,0.0288,0.03148,455860379.4,1676505599999,13772743.463853,52327,220217283.2,6648033.515446,0,2023-02-15
ZRXUSDT,1676419200000,0.2329,0.255,0.2329,0.2541,9476825.0,1676505599999,2299862.2799,15280,4945192.0,1200225.7078,0,2023-02-15
FETUSDT,1676419200000,0.4531,0.4798,0.4109,0.4734,138049210.0,1676505599999,61740962.0609,201857,68164858.0,30542557.865,0,2023-02-15
BATUSDT,1676419200000,0.2994,0.3151,0.2938,0.3146,25385861.0,1676505599999,7659952.7433,40340,13458504.0,4064955.4305,0,2023-02-15
XMRUSDT,1676419200000,158.4,165.7,156.7,165.5,90677.447,1676505599999,14565358.6866,45213,48820.219,7855993.9767,0,2023-02-15
ZECUSDT,1676419200000,43.7,46.5,43.0,46.3,157857.814,1676505599999,7006323.7619,20371,77052.473,3423146.2192,0,2023-02-15
IOSTUSDT,1676419200000,0.01015,0.01102,0.00999,0.01099,167681606.0,1676505599999,1740243.13345,14014,81502628.0,847022.22344,0,2023-02-15
CELRUSDT,1676419200000,0.0208,0.02397,0.02005,0.02349,398751463.2,1676505599999,8713714.225762,35395,199310667.0,4353910.418408,0,2023-02-15
DASHUSDT,1676419200000,68.04,74.13,67.65,73.3,215793.209,1676505599999,15103736.13404,63591,104026.443,7285696.53036,0,2023-02-15
OMGUSDT,1676419200000,1.566,1.657,1.541,1.656,961097.4,1676505599999,1531886.7385,10423,468213.9,745975.3811,0,2023-02-15
THETAUSDT,1676419200000,1.077,1.166,1.059,1.161,5948613.7,1676505599999,6601797.977,34476,3085591.0,3423043.4809,0,2023-02-15
ENJUSDT,1676419200000,0.4432,0.4847,0.4383,0.4846,10461556.3,1676505599999,4807704.2353,27355,5053006.0,2317788.78444,0,2023-02-15
MATICUSDT,1676419200000,1.258,1.333,1.2325,1.3283,87915959.8,1676505599999,112401469.73247,265640,45536505.5,58236537.17626,0,2023-02-15
ATOMUSDT,1676419200000,13.399,14.3,13.227,14.297,1887845.86,1676505599999,25697468.68771,104980,992252.61,13520853.20527,0,2023-02-15
TFUELUSDT,1676419200000,0.0517,0.0581,0.0516,0.0567,38738905.0,1676505599999,2114490.4457,13090,18786284.0,1021274.0772,0,2023-02-15
ONEUSDT,1676419200000,0.02421,0.02743,0.0238,0.02717,376507673.9,1676505599999,9621883.200365,57027,192595611.3,4919348.850242,0,2023-02-15
FTMUSDT,1676419200000,0.5241,0.5856,0.5063,0.5698,269502418.0,1676505599999,144930583.104,344825,134869290.0,72545415.725,0,2023-02-15
ALGOUSDT,1676419200000,0.2533,0.2741,0.2507,0.2722,52268566.0,1676505599999,13680694.7953,52372,27460996.0,7185029.6269,0,2023-02-15
DOGEUSDT,1676419200000,0.0836,0.08961,0.08265,0.08928,1906740485.0,1676505599999,164949294.3783,292835,988439858.0,85515438.80944,0,2023-02-15
DUSKUSDT,1676419200000,0.2283,0.3042,0.2254,0.2836,122439289.0,1676505599999,32210758.74,185326,64471767.0,16964808.6884,0,2023-02-15
ANKRUSDT,1676419200000,0.02878,0.03298,0.02831,0.03243,612262386.2,1676505599999,18902613.932872,80777,302006961.3,9314580.225852,0,2023-02-15
WINUSDT,1676419200000,8.98e-05,9.38e-05,8.81e-05,9.35e-05,12909225502.0,1676505599999,1171354.7720694,7548,6712270895.0,610340.8313636,0,2023-02-15
COSUSDT,1676419200000,0.00628,0.00663,0.0062,0.00661,147043804.0,1676505599999,942643.002608,7154,79459732.7,511142.73134,0,2023-02-15
COCOSUSDT,1676419200000,0.7063,0.7493,0.7002,0.7428,2379288.0,1676505599999,1734144.7659,8170,1401854.0,1023913.2939,0,2023-02-15
MTLUSDT,1676419200000,1.0,1.077,0.994,1.077,1588073.8,1676505599999,1633663.003,9490,727450.7,747864.4311,0,2023-02-15
TOMOUSDT,1676419200000,0.3828,0.411,0.3777,0.411,2332194.8,1676505599999,906791.95046,9380,1121935.7,436701.54044,0,2023-02-15
PERLUSDT,1676419200000,0.02056,0.02245,0.0201,0.02179,52958181.3,1676505599999,1129453.962906,7855,24857373.3,531965.944673,0,2023-02-15
DENTUSDT,1676419200000,0.000928,0.001,0.000919,0.000993,2229727321.0,1676505599999,2127295.679553,12131,1080321769.0,1032593.233979,0,2023-02-15
