Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date GMT+0
BTCUSDT,1656374400000,20742.57,21212.1,20202.01,20281.29,63801.0832,1656460799999,1321862977.9315486,1064497,30490.78532,631852171.7596263,0,2022-06-28
ETHUSDT,1656374400000,1192.51,1237.99,1136.32,1144.05,1104065.2211,1656460799999,1314982778.267405,952584,533645.7487,636188942.640824,0,2022-06-28
BNBUSDT,1656374400000,233.9,242.8,225.9,226.9,632626.779,1656460799999,149006957.8704,295208,325512.672,76739636.2322,0,2022-06-28
NEOUSDT,1656374400000,9.51,9.66,8.88,8.93,377236.1,1656460799999,3517106.9025,16260,188993.28,1764791.8147,0,2022-06-28
LTCUSDT,1656374400000,55.89,57.0,52.57,52.68,428561.798,1656460799999,23479250.32321,79733,222693.12,12205679.74759,0,2022-06-28
QTUMUSDT,1656374400000,3.001,3.114,2.863,2.894,1006724.3,1656460799999,3006305.4878,19491,484095.9,1441745.2518,0,2022-06-28
ADAUSDT,1656374400000,0.4855,0.4975,0.4671,0.4694,163559982.8,1656460799999,78948406.06234,186022,78703385.9,38002713.98739,0,2022-06-28
XRPUSDT,1656374400000,0.3537,0.3557,0.3353,0.3375,316153206.0,1656460799999,109315246.4689,155206,168250606.0,58219456.6073,0,2022-06-28
EOSUSDT,1656374400000,0.985,1.005,0.941,0.944,9874526.8,1656460799999,9661987.3347,31231,4712674.6,4619529.9685,0,2022-06-28
TUSDUSDT,1656374400000,1.001,1.0016,1.001,1.0013,11898146.0,1656460799999,11912567.1493,12471,4705708.0,4711347.966,0,2022-06-28
IOTAUSDT,1656374400000,0.2893,0.2952,0.2731,0.2751,10618699.0,1656460799999,3040194.5666,20810,5717117.0,1637000.9298,0,2022-06-28
XLMUSDT,1656374400000,0.1191,0.1213,0.1137,0.1143,66245216.0,1656460799999,7795713.8091,29762,33686241.0,3964181.5827,0,2022-06-28
ONTUSDT,1656374400000,0.2491,0.2568,0.2317,0.2343,11089811.0,1656460799999,2726139.12,18988,5309690.0,1303827.5162,0,2022-06-28
TRXUSDT,1656374400000,0.06703,0.06833,0.06518,0.06591,1165858010.9,1656460799999,77994221.008529,195258,526649980.7,35245322.275887,0,2022-06-28
ETCUSDT,1656374400000,16.56,16.83,15.32,15.44,809650.34,1656460799999,13109534.8669,44746,393158.98,6370321.6183,0,2022-06-28
ICXUSDT,1656374400000,0.296,0.322,0.285,0.288,14261856.2,1656460799999,4341077.9982,17272,7550516.9,2305420.3675,0,2022-06-28
NULSUSDT,1656374400000,0.181,0.215,0.1676,0.1686,16586440.0,1656460799999,3202396.6664,20158,8264314.0,1603251.8396,0,2022-06-28
VETUSDT,1656374400000,0.02458,0.02537,0.0233,0.02343,771674102.9,1656460799999,18888512.404124,68302,397782505.7,9737686.926784,0,2022-06-28
USDCUSDT,1656374400000,1.001,1.0016,1.001,1.0013,458747600.0,1656460799999,459320251.3276,78300,233929715.0,234221067.6299,0,2022-06-28
LINKUSDT,1656374400000,6.56,7.26,6.27,6.32,10657624.7,1656460799999,71863302.4993,118470,5274927.96,35587047.5194,0,2022-06-28
WAVESUSDT,1656374400000,5.9,5.95,5.33,5.41,3596610.68,1656460799999,20456520.8073,51297,1802209.55,10248236.7941,0,2022-06-28
ONGUSDT,1656374400000,0.3968,0.4117,0.3856,0.3893,1999396.0,1656460799999,794990.1737,3705,897076.0,357239.5457,0,2022-06-28
HOTUSDT,1656374400000,0.002279,0.002361,0.002175,0.002205,2511592164.0,1656460799999,5707060.464483,25476,1299768975.0,2954002.644405,0,2022-06-28
ZILUSDT,1656374400000,0.04492,0.04539,0.04096,0.04159,398346505.1,1656460799999,17216491.720692,79168,188576431.2,8151889.27492,0,2022-06-28
ZRXUSDT,1656374400000,0.3236,0.343,0.3147,0.3178,7810456.0,1656460799999,2560593.7783,12901,4206857.0,1378531.8149,0,2022-06-28
FETUSDT,1656374400000,0.0822,0.0847,0.0754,0.0761,38182491.0,1656460799999,3072626.4831,10587,17002666.0,1369260.3427,0,2022-06-28
