Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date GMT+0
BTCUSDT,1518307200000,8533.99,8549.0,7726.53,8063.88,45025.187952,1518393599999,366966437.2498885,524626,23180.34192,188849914.34995836,0,2018-02-11
ETHUSDT,1518307200000,851.15,857.0,768.28,808.99,189323.408,1518393599999,154647315.018998,318895,93816.64268,76606662.6260783,0,2018-02-11
BNBUSDT,1518307200000,9.2501,9.5,8.02,8.674,3021732.48,1518393599999,26487879.882144,116910,1485610.23,13028698.962832,0,2018-02-11
BCCUSDT,1518307200000,1236.72,1295.26,1160.33,1208.12,8665.53767,1518393599999,10662698.0460947,25654,4284.79607,5278078.091791,0,2018-02-11
NEOUSDT,1518307200000,107.3,111.84,93.1,101.707,558336.262,1518393599999,57293725.790382,122683,276063.436,28277949.723163,0,2018-02-11
LTCUSDT,1518307200000,154.62,156.1,139.0,148.28,90638.82249,1518393599999,13496062.2759088,51011,42721.53643,6352773.8590054,0,2018-02-11
