Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date GMT+0
BTCUSDT,1715385600000,60799.99,61515.0,60487.09,60825.99,13374.56936,1715471999999,814928013.4573288,753281,6223.09555,379263096.21513295,0,2024-05-11
ETHUSDT,1715385600000,2909.98,2945.67,2886.46,2912.45,138163.1087,1715471999999,402989065.566229,466357,68667.2224,200322136.669701,0,2024-05-11
BNBUSDT,1715385600000,585.7,594.5,580.8,592.2,210698.305,1715471999999,123879065.4674,176392,110856.406,65157095.5809,0,2024-05-11
NEOUSDT,1715385600000,14.96,15.36,14.95,15.24,205790.54,1715471999999,3114708.1762,20979,99787.66,1511157.4154,0,2024-05-11
LTCUSDT,1715385600000,80.22,82.29,80.13,81.39,258119.13,1715471999999,20924685.32522,73087,127260.514,10316344.94007,0,2024-05-11
QTUMUSDT,1715385600000,3.583,3.669,3.492,3.498,486413.7,1715471999999,1730762.9567,13667,227586.6,811727.5175,0,2024-05-11
ADAUSDT,1715385600000,0.4479,0.4511,0.4379,0.439,44305780.0,1715471999999,19673649.14965,43655,22077383.7,9802702.48437,0,2024-05-11
XRPUSDT,1715385600000,0.5022,0.5079,0.5005,0.5059,99554446.0,1715471999999,50215891.6399,67159,46491227.0,23454502.0652,0,2024-05-11
EOSUSDT,1715385600000,0.7904,0.799,0.7768,0.7816,7995062.9,1715471999999,6297349.30109,29362,4352540.1,3428182.90712,0,2024-05-11
TUSDUSDT,1715385600000,0.9994,0.9995,0.999,0.9992,920077.0,1715471999999,919382.7638,5352,435208.0,434904.244,0,2024-05-11
IOTAUSDT,1715385600000,0.2128,0.2164,0.2101,0.2104,14699654.0,1715471999999,3132975.3191,17097,6912792.0,1473543.9778,0,2024-05-11
XLMUSDT,1715385600000,0.1063,0.1071,0.1054,0.1059,20889374.0,1715471999999,2222008.8916,9847,9368088.0,996562.616,0,2024-05-11
ONTUSDT,1715385600000,0.327,0.33,0.3193,0.3203,4727726.0,1715471999999,1535788.5886,14495,2130529.0,691764.404,0,2024-05-11
TRXUSDT,1715385600000,0.12741,0.12767,0.12588,0.12638,189065806.6,1715471999999,23959783.493807,89219,91959433.0,11655435.928694,0,2024-05-11
ETCUSDT,1715385600000,26.39,26.98,26.18,26.47,444546.37,1715471999999,11804158.5979,24053,214319.73,5692234.8559,0,2024-05-11
