Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date GMT+0
BTCUSDT,1711929600000,71280.0,71288.23,68062.86,69649.8,41445.32039,1712015999999,2876486469.465523,1893438,20211.15024,1402849944.7822893,0,2024-04-01
ETHUSDT,1711929600000,3645.29,3645.95,3413.71,3503.8,408854.1225,1712015999999,1437691729.032314,1115133,195398.2616,687310223.775467,0,2024-04-01
BNBUSDT,1711929600000,606.7,607.7,568.7,575.8,723114.09,1712015999999,422232040.5397,550127,335240.836,195706037.7081,0,2024-04-01
NEOUSDT,1711929600000,16.54,16.8,15.14,15.6,548975.95,1712015999999,8745793.0998,52087,239286.97,3814287.3252,0,2024-04-01
LTCUSDT,1711929600000,105.01,112.8,97.23,99.2,2502382.047,1712015999999,263856682.14913,517505,1230224.377,129845907.72119,0,2024-04-01
QTUMUSDT,1711929600000,4.888,4.937,4.374,4.499,959043.1,1712015999999,4409343.9068,38580,452712.0,2080619.8534,0,2024-04-01
ADAUSDT,1711929600000,0.6501,0.6515,0.605,0.6212,156775712.2,1712015999999,97840424.3933,179277,74373236.5,46392517.03512,0,2024-04-01
XRPUSDT,1711929600000,0.6292,0.6336,0.5947,0.611,546287523.0,1712015999999,333965195.5589,313516,269122892.0,164541739.0984,0,2024-04-01
EOSUSDT,1711929600000,1.1007,1.114,1.0163,1.0389,17723322.7,1712015999999,18697988.55525,66749,8790004.6,9276582.96122,0,2024-04-01
TUSDUSDT,1711929600000,0.9997,1.01,0.999,0.9993,7507976.0,1712015999999,7502759.0998,32334,2917582.0,2916023.1421,0,2024-04-01
IOTAUSDT,1711929600000,0.351,0.3515,0.315,0.3264,28408405.0,1712015999999,9320713.6063,56606,13816579.0,4529693.4299,0,2024-04-01
XLMUSDT,1711929600000,0.1411,0.1426,0.1321,0.1355,163964459.0,1712015999999,22336897.7472,80262,78512920.0,10693519.1608,0,2024-04-01
ONTUSDT,1711929600000,0.3669,0.3681,0.3319,0.342,8842147.0,1712015999999,3058856.6562,23186,4284918.0,1482158.7294,0,2024-04-01
TRXUSDT,1711929600000,0.12296,0.1232,0.11984,0.12051,374906211.5,1712015999999,45501156.734014,135579,172682866.7,20960228.685696,0,2024-04-01
ETCUSDT,1711929600000,34.27,34.82,31.8,32.68,1720981.91,1712015999999,57378831.7741,118173,816544.53,27238399.4309,0,2024-04-01
ICXUSDT,1711929600000,0.3614,0.3624,0.3251,0.337,20149646.6,1712015999999,6832835.59175,49472,9089540.1,3081033.31035,0,2024-04-01
NULSUSDT,1711929600000,0.8178,0.935,0.7926,0.8346,20262196.0,1712015999999,17153832.2616,113370,10086808.0,8564471.8858,0,2024-04-01
VETUSDT,1711929600000,0.0461,0.04751,0.043,0.04432,502137593.9,1712015999999,22697217.313968,109604,249592471.8,11287686.707342,0,2024-04-01
USDCUSDT,1711929600000,1.0,1.0002,0.9992,0.9996,992470156.0,1712015999999,992232307.0809,254858,448355630.0,448257332.0318,0,2024-04-01
LINKUSDT,1711929600000,19.17,19.275,17.856,18.358,3750501.14,1712015999999,69143799.68535,201944,1811445.83,33384967.46053,0,2024-04-01
WAVESUSDT,1711929600000,3.804,4.223,3.685,4.027,14764140.16,1712015999999,58956365.31877,292535,8164005.62,32605759.0371,0,2024-04-01
ONGUSDT,1711929600000,0.4331,0.4331,0.3859,0.399,5216898.0,1712015999999,2112680.9343,23113,2494827.0,1009399.5291,0,2024-04-01
HOTUSDT,1711929600000,0.00344,0.003497,0.00314,0.003248,2343089106.0,1712015999999,7686191.433866,47861,1174587375.0,3855938.008085,0,2024-04-01
ZILUSDT,1711929600000,0.03894,0.03894,0.03483,0.03583,516992730.5,1712015999999,18830049.41574,96962,247393614.4,9014133.532839,0,2024-04-01
ZRXUSDT,1711929600000,0.7603,0.7603,0.6833,0.7089,19254560.0,1712015999999,13720843.7475,86872,8722608.0,6214453.2586,0,2024-04-01
FETUSDT,1711929600000,3.0503,3.0828,2.82,2.8803,37123924.0,1712015999999,108730366.6294,416017,17624544.0,51608959.7358,0,2024-04-01
BATUSDT,1711929600000,0.3357,0.3412,0.3049,0.3158,12396921.0,1712015999999,4013188.5009,36342,5880144.0,1901847.3661,0,2024-04-01
ZECUSDT,1711929600000,30.44,30.54,27.91,28.94,231835.677,1712015999999,6755826.87942,45204,106641.099,3109010.45516,0,2024-04-01
IOSTUSDT,1711929600000,0.01279,0.01279,0.01132,0.01173,541580646.0,1712015999999,6474489.25749,33832,260956310.0,3115106.98799,0,2024-04-01
CELRUSDT,1711929600000,0.03344,0.038,0.03134,0.03208,387260829.2,1712015999999,13384910.785072,90418,186304763.7,6460315.577738,0,2024-04-01
DASHUSDT,1711929600000,40.03,40.52,36.74,37.77,152229.516,1712015999999,5854156.24843,34159,70735.22,2723757.57013,0,2024-04-01
OMGUSDT,1711929600000,1.12,1.13,1.015,1.043,4149954.3,1712015999999,4406500.1983,30755,1973922.2,2095249.8554,0,2024-04-01
THETAUSDT,1711929600000,3.083,3.15,2.746,2.868,10734237.2,1712015999999,31353580.8855,148825,5405909.4,15814166.2647,0,2024-04-01
ENJUSDT,1711929600000,0.5043,0.5061,0.4537,0.4716,16578758.6,1712015999999,7834655.04984,63019,8084021.2,3820301.46061,0,2024-04-01
MATICUSDT,1711929600000,1.0034,1.0076,0.926,0.9508,82372042.5,1712015999999,78957959.90373,188537,39652939.9,38003458.6946,0,2024-04-01
ATOMUSDT,1711929600000,12.293,12.39,11.382,11.63,3805052.82,1712015999999,44849677.09484,126622,1840711.86,21704750.11087,0,2024-04-01
TFUELUSDT,1711929600000,0.10479,0.11103,0.0891,0.09298,319005489.0,1712015999999,31158469.97199,362557,156254210.0,15252758.4377,0,2024-04-01
ONEUSDT,1711929600000,0.03195,0.03248,0.02863,0.03001,257425886.6,1712015999999,7749344.006269,54599,128313709.1,3861782.506058,0,2024-04-01
FTMUSDT,1711929600000,1.0036,1.0046,0.9,0.9491,81685863.0,1712015999999,76721042.2591,210741,39649553.0,37243654.8566,0,2024-04-01
ALGOUSDT,1711929600000,0.2679,0.27,0.2445,0.2513,61982409.0,1712015999999,15798793.2741,62096,30477737.0,7771321.3508,0,2024-04-01
DOGEUSDT,1711929600000,0.22,0.22003,0.19709,0.20503,3456154163.0,1712015999999,711845259.72304,964182,1661194014.0,342069994.90839,0,2024-04-01
DUSKUSDT,1711929600000,0.5722,0.5915,0.5195,0.5338,19707628.0,1712015999999,10824495.8604,91499,9536446.0,5241822.7225,0,2024-04-01
ANKRUSDT,1711929600000,0.05961,0.06888,0.05921,0.06741,1062620955.4,1712015999999,68914926.306901,334622,544072047.3,35301195.06305,0,2024-04-01
WINUSDT,1711929600000,0.000169,0.0001693,0.0001554,0.0001583,17439223462.0,1712015999999,2811614.9695456,22845,8080276663.0,1303221.1211357,0,2024-04-01
COSUSDT,1711929600000,0.011877,0.01476,0.011807,0.013999,2193227589.2,1712015999999,29340698.5758092,195054,1141200489.3,15283602.0213557,0,2024-04-01
MTLUSDT,1711929600000,2.249,2.249,2.057,2.127,2414212.9,1712015999999,5178878.7973,33294,1171394.3,2511924.1621,0,2024-04-01
DENTUSDT,1711929600000,0.001938,0.001945,0.001761,0.001831,2445026568.0,1712015999999,4488784.452743,27920,1165134794.0,2138045.026349,0,2024-04-01
KEYUSDT,1711929600000,0.010025,0.010283,0.009238,0.009587,1060398057.0,1712015999999,10341543.158282,107772,520948986.0,5088230.972723,0,2024-04-01
DOCKUSDT,1711929600000,0.04744,0.04795,0.04365,0.04581,21824856.0,1712015999999,993833.33114,15170,10930191.0,497518.35453,0,2024-04-01
WANUSDT,1711929600000,0.3934,0.3945,0.3475,0.3766,8232795.0,1712015999999,3041385.8306,22742,3798984.0,1403433.2292,0,2024-04-01
FUNUSDT,1711929600000,0.006936,0.006964,0.006426,0.006638,257481290.0,1712015999999,1710374.752607,28016,113967033.0,756503.24425,0,2024-04-01
CVCUSDT,1711929600000,0.242,0.2432,0.2076,0.2187,34717258.0,1712015999999,7742454.0024,42721,15711084.0,3509462.9893,0,2024-04-01
CHZUSDT,1711929600000,0.1497,0.15018,0.13545,0.13928,133682544.0,1712015999999,18921800.45063,95903,60666024.0,8571806.21999,0,2024-04-01
BANDUSDT,1711929600000,2.26,2.342,2.046,2.116,1859082.6,1712015999999,4011187.9761,32863,915704.8,1977499.3837,0,2024-04-01
XTZUSDT,1711929600000,1.4,1.414,1.312,1.35,6568334.3,1712015999999,8894499.1596,39441,3170429.7,4292159.6427,0,2024-04-01
RENUSDT,1711929600000,0.101107,0.112201,0.093369,0.107257,119316969.0,1712015999999,12478932.382966,150039,61510959.0,6433385.248071,0,2024-04-01
RVNUSDT,1711929600000,0.04982,0.05257,0.04549,0.04809,1090046156.8,1712015999999,53520549.342005,263468,540626018.4,26631076.783809,0,2024-04-01
HBARUSDT,1711929600000,0.1158,0.1167,0.1068,0.1099,185994711.0,1712015999999,20621462.532,72725,96730019.0,10724375.7884,0,2024-04-01
NKNUSDT,1711929600000,0.17,0.1704,0.1536,0.1568,44204146.0,1712015999999,7155668.9871,47518,20966633.0,3398114.336,0,2024-04-01
STXUSDT,1711929600000,3.6541,3.8464,3.386,3.6171,20417089.1,1712015999999,74150817.76703,279250,10392191.8,37781511.69855,0,2024-04-01
KAVAUSDT,1711929600000,1.0656,1.1324,1.0324,1.0628,31903528.8,1712015999999,34404773.90577,178910,15625084.0,16854409.06691,0,2024-04-01
ARPAUSDT,1711929600000,0.09699,0.09745,0.08875,0.09288,79970015.4,1712015999999,7422758.351065,108667,39472939.4,3668688.075785,0,2024-04-01
IOTXUSDT,1711929600000,0.0749,0.07534,0.0695,0.07226,142713608.0,1712015999999,10261284.88281,112826,67715716.0,4869719.48706,0,2024-04-01
RLCUSDT,1711929600000,3.887,3.953,3.532,3.635,1391759.2,1712015999999,5172676.1287,34228,697746.7,2593051.4978,0,2024-04-01
CTXCUSDT,1711929600000,0.4508,0.4518,0.4111,0.4251,9057867.0,1712015999999,3873979.603,46979,4172702.0,1784020.3765,0,2024-04-01
BCHUSDT,1711929600000,678.8,705.0,617.4,647.6,432766.705,1712015999999,289380178.0237,533967,221207.521,148083028.0896,0,2024-04-01
TROYUSDT,1711929600000,0.003498,0.00351,0.003155,0.003319,889005881.0,1712015999999,2930360.256959,27267,411942681.0,1355211.260822,0,2024-04-01
VITEUSDT,1711929600000,0.03906,0.04023,0.03299,0.03436,182393037.4,1712015999999,6614340.9714,54415,80039847.1,2900943.72004,0,2024-04-01
FTTUSDT,1711929600000,1.9099,1.9193,1.7827,1.8279,3114653.65,1712015999999,5754511.257671,48741,1394898.51,2576510.153216,0,2024-04-01
EURUSDT,1711929600000,1.0779,1.0782,1.0722,1.0726,25010101.3,1712015999999,26880305.83234,60491,11352913.6,12201855.10129,0,2024-04-01
OGNUSDT,1711929600000,0.2173,0.2268,0.2003,0.21,40077346.0,1712015999999,8597358.6131,39091,19747873.0,4243021.5404,0,2024-04-01
DREPUSDT,1711929600000,0.0667,0.0733,0.0539,0.058,126281661.0,1712015999999,7888473.2743,85654,60835746.0,3814047.5208,0,2024-04-01
WRXUSDT,1711929600000,0.3133,0.314,0.285,0.2935,5612663.9,1712015999999,1675471.15926,33295,2632566.0,786109.66069,0,2024-04-01
LSKUSDT,1711929600000,2.0,2.004,1.823,1.896,1966417.5,1712015999999,3727117.6004,24253,968870.2,1837020.7396,0,2024-04-01
BNTUSDT,1711929600000,0.9194,0.9208,0.8313,0.8613,3776388.2,1712015999999,3275762.91772,42289,1749585.1,1515007.84774,0,2024-04-01
LTOUSDT,1711929600000,0.2706,0.282,0.2462,0.2634,40983963.0,1712015999999,10715636.9058,77045,20024362.0,5245533.0218,0,2024-04-01
MBLUSDT,1711929600000,0.006569,0.006569,0.005923,0.006146,779634230.0,1712015999999,4852544.738583,31732,358868172.0,2234740.020661,0,2024-04-01
COTIUSDT,1711929600000,0.18795,0.18854,0.17202,0.17767,47977644.0,1712015999999,8615474.00898,69198,21810692.0,3917318.31858,0,2024-04-01
STPTUSDT,1711929600000,0.07989,0.08006,0.07018,0.07275,49266745.2,1712015999999,3650280.592621,47045,24427925.4,1806330.416707,0,2024-04-01
