Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date GMT+0
BTCUSDT,1568073600000,10302.58,10384.99,9953.0,10098.15,28915.412225,1568159999999,294323839.5070076,286763,13432.256822,136876441.42321572,0,2019-09-10
ETHUSDT,1568073600000,180.52,184.36,177.0,179.81,238387.50999,1568159999999,43067898.9051214,116866,120273.5916,21739616.7388069,0,2019-09-10
BNBUSDT,1568073600000,22.104,22.3262,21.5,21.7679,831852.96,1568159999999,18338404.279821,39552,432822.7,9548309.00417,0,2019-09-10
NEOUSDT,1568073600000,9.084,9.2,8.688,8.834,164223.581,1568159999999,1467846.855637,4606,64583.057,578324.078199,0,2019-09-10
LTCUSDT,1568073600000,69.86,73.1,69.77,70.85,315598.33706,1568159999999,22476093.8475688,61080,161180.39623,11485204.6515817,0,2019-09-10
QTUMUSDT,1568073600000,2.083,2.124,2.002,2.025,264021.233,1568159999999,546102.685525,2966,108563.139,224425.032879,0,2019-09-10
ADAUSDT,1568073600000,0.04676,0.04814,0.04562,0.04646,102691657.8,1568159999999,4838040.544485,16313,47277777.5,2228948.119589,0,2019-09-10
XRPUSDT,1568073600000,0.25869,0.26371,0.2535,0.25859,61643971.4,1568159999999,15995536.301485,46972,30723440.3,7972245.692891,0,2019-09-10
EOSUSDT,1568073600000,3.8746,3.92,3.652,3.7742,8561940.48,1568159999999,32525969.927513,59196,4157489.97,15795828.272181,0,2019-09-10
TUSDUSDT,1568073600000,0.9991,1.0016,0.9988,1.0004,3657896.53,1568159999999,3658436.086592,8370,1624410.37,1625224.000951,0,2019-09-10
IOTAUSDT,1568073600000,0.2393,0.2429,0.2365,0.2384,1593865.2,1568159999999,381260.978913,2108,713967.03,171041.029787,0,2019-09-10
XLMUSDT,1568073600000,0.06024,0.06112,0.059,0.05963,27427095.0,1568159999999,1656861.201011,10433,13510621.2,816577.504221,0,2019-09-10
ONTUSDT,1568073600000,0.7646,0.8093,0.7523,0.7624,2567581.02,1568159999999,1998005.465116,9282,1141213.87,887517.086412,0,2019-09-10
TRXUSDT,1568073600000,0.01563,0.01617,0.01534,0.01561,1777180191.4,1568159999999,28085178.88504,49500,875061914.5,13830528.788261,0,2019-09-10
ETCUSDT,1568073600000,6.5879,6.7529,6.3818,6.5302,1392737.02,1568159999999,9197243.907176,23176,675379.81,4459377.413337,0,2019-09-10
ICXUSDT,1568073600000,0.2083,0.2095,0.2009,0.2043,2250638.08,1568159999999,462102.001853,2469,1150607.08,236398.577884,0,2019-09-10
NULSUSDT,1568073600000,0.4429,0.4516,0.4282,0.4287,167471.64,1568159999999,73867.823094,751,60933.75,26884.121925,0,2019-09-10
VETUSDT,1568073600000,0.003986,0.00402,0.003855,0.003912,85063379.0,1568159999999,336381.435565,1844,46396906.0,183704.825351,0,2019-09-10
PAXUSDT,1568073600000,0.9994,1.0015,0.9991,1.0007,3165790.89,1568159999999,3167461.501701,5383,1085993.52,1086785.204608,0,2019-09-10
BCHABCUSDT,1568073600000,304.13,311.05,298.92,304.18,27482.28347,1568159999999,8381427.0289066,23166,13327.39343,4065936.0425174,0,2019-09-10
USDCUSDT,1568073600000,0.9991,1.0025,0.9988,1.0004,8747582.89,1568159999999,8754234.376491,12190,4911616.68,4916810.335017,0,2019-09-10
LINKUSDT,1568073600000,1.7883,1.8326,1.773,1.7998,2713368.74,1568159999999,4891387.975576,11896,1236224.09,2228219.631877,0,2019-09-10
WAVESUSDT,1568073600000,1.071,1.0839,1.0282,1.0416,133166.77,1568159999999,140225.399118,1059,63715.32,67175.774836,0,2019-09-10
BTTUSDT,1568073600000,0.0005872,0.0006082,0.0005574,0.000566,13364091810.0,1568159999999,7846987.8967965,34207,6243238034.0,3673882.7934704,0,2019-09-10
USDSUSDT,1568073600000,0.9969,0.9997,0.9957,0.9982,51109.81,1568159999999,51049.368923,137,38880.76,38855.421573,0,2019-09-10
ONGUSDT,1568073600000,0.1744,0.1816,0.1728,0.175,135808.4,1568159999999,24039.470515,662,59049.49,10498.192629,0,2019-09-10
HOTUSDT,1568073600000,0.0008441,0.0008789,0.0008265,0.0008603,732018559.0,1568159999999,624935.8961337,3032,321424139.0,274635.3805977,0,2019-09-10
ZILUSDT,1568073600000,0.00703,0.00708,0.00671,0.0068,38353009.1,1568159999999,264589.926196,1422,16382636.4,112988.151083,0,2019-09-10
ZRXUSDT,1568073600000,0.1644,0.1664,0.1591,0.161,821774.51,1568159999999,134888.560661,938,304454.94,49992.456872,0,2019-09-10
FETUSDT,1568073600000,0.0523,0.054,0.0515,0.0523,31591098.05,1568159999999,1660608.126459,6114,16237831.87,853903.250914,0,2019-09-10
BATUSDT,1568073600000,0.1729,0.1785,0.1719,0.1721,1964230.44,1568159999999,343503.133223,1748,791518.86,138608.148349,0,2019-09-10
XMRUSDT,1568073600000,74.98,76.0,71.5,72.27,11768.49972,1568159999999,860204.7707485,3327,3966.96143,290799.4659088,0,2019-09-10
ZECUSDT,1568073600000,46.98,47.43,44.53,44.93,7219.79532,1568159999999,331457.2134932,1936,3146.66216,144236.6399356,0,2019-09-10
IOSTUSDT,1568073600000,0.007197,0.007286,0.006957,0.006997,56996891.0,1568159999999,405299.592775,3298,26695806.0,189943.294119,0,2019-09-10
CELRUSDT,1568073600000,0.00582,0.0059,0.00539,0.00547,34320831.0,1568159999999,193915.897753,1653,10836812.4,61651.239115,0,2019-09-10
DASHUSDT,1568073600000,86.38,87.0,82.26,83.11,4433.4645,1568159999999,375954.2907371,1448,2216.45534,187911.3360562,0,2019-09-10
NANOUSDT,1568073600000,0.9241,0.9325,0.8918,0.9044,84714.06,1568159999999,77557.115914,668,45077.06,41446.54618,0,2019-09-10
OMGUSDT,1568073600000,1.0683,1.0933,1.0568,1.0662,111658.3,1568159999999,120097.595711,625,50897.85,54859.505678,0,2019-09-10
THETAUSDT,1568073600000,0.11047,0.113,0.108,0.10926,358307.6,1568159999999,39473.724681,429,215687.5,23840.682581,0,2019-09-10
ENJUSDT,1568073600000,0.07796,0.07878,0.07412,0.07503,3635418.2,1568159999999,278904.06063,1784,1436289.6,110393.720028,0,2019-09-10
MITHUSDT,1568073600000,0.01697,0.01848,0.01671,0.01736,3974178.6,1568159999999,68882.724715,922,1983844.7,34304.0545,0,2019-09-10
MATICUSDT,1568073600000,0.0141,0.01438,0.01319,0.0135,95787661.0,1568159999999,1329054.451775,5508,35552814.3,495495.579816,0,2019-09-10
