Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date GMT+0
BTCUSDT,1648944000000,45810.99,47444.11,45530.92,46407.35,33394.67794,1649030399999,1550999693.0508049,966563,16740.18067,777615974.8155178,0,2022-04-03
ETHUSDT,1648944000000,3443.77,3580.34,3412.11,3521.91,381581.7683,1649030399999,1334671716.892238,619758,194051.9378,678865118.435445,0,2022-04-03
BNBUSDT,1648944000000,437.3,455.7,432.2,450.4,676230.892,1649030399999,300737395.2241,362521,349456.437,155431719.6767,0,2022-04-03
NEOUSDT,1648944000000,27.54,28.6,26.82,28.0,349444.95,1649030399999,9693121.2178,45663,168438.23,4672451.3748,0,2022-04-03
LTCUSDT,1648944000000,124.9,129.5,123.6,128.7,304078.019,1649030399999,38542464.3452,72138,155262.563,19684756.3413,0,2022-04-03
QTUMUSDT,1648944000000,8.316,8.64,8.13,8.508,1077867.5,1649030399999,9061608.2836,45087,549979.8,4626095.3255,0,2022-04-03
ADAUSDT,1648944000000,1.156,1.2,1.142,1.186,78660058.3,1649030399999,92317779.5635,149109,41166239.3,48340411.9369,0,2022-04-03
XRPUSDT,1648944000000,0.824,0.8519,0.8143,0.8432,159520162.0,1649030399999,133117452.9172,156976,77302883.0,64502447.3359,0,2022-04-03
EOSUSDT,1648944000000,2.786,2.865,2.723,2.84,11000654.6,1649030399999,30810731.3776,73883,5355595.2,15007568.3501,0,2022-04-03
TUSDUSDT,1648944000000,0.9997,0.9998,0.9996,0.9998,17774952.0,1649030399999,17769609.2188,23879,10888318.0,10885112.8835,0,2022-04-03
IOTAUSDT,1648944000000,0.8909,0.9128,0.8801,0.9011,8503687.0,1649030399999,7637543.4218,40208,4072389.0,3659189.2726,0,2022-04-03
XLMUSDT,1648944000000,0.2331,0.2383,0.2302,0.237,58098619.0,1649030399999,13593389.8601,40817,28683193.0,6711840.5339,0,2022-04-03
ONTUSDT,1648944000000,0.6725,0.7035,0.647,0.6721,14999603.0,1649030399999,10029311.9033,50416,7576029.0,5068065.8048,0,2022-04-03
TRXUSDT,1648944000000,0.07323,0.07371,0.07208,0.07312,783037232.3,1649030399999,57039132.224083,146594,427077343.2,31114001.454156,0,2022-04-03
ETCUSDT,1648944000000,45.49,47.96,44.43,46.71,2926363.71,1649030399999,136435753.8183,220452,1425167.52,66394620.4462,0,2022-04-03
ICXUSDT,1648944000000,1.09,1.106,1.025,1.063,8970045.3,1649030399999,9517914.465,35915,4410630.4,4682652.6807,0,2022-04-03
NULSUSDT,1648944000000,0.4751,0.5878,0.4747,0.4934,37986070.0,1649030399999,19932624.0245,104841,19049710.0,10054112.2278,0,2022-04-03
VETUSDT,1648944000000,0.07715,0.08295,0.075,0.08262,850702192.5,1649030399999,67232715.349253,225718,414796871.2,32809141.580752,0,2022-04-03
USDCUSDT,1648944000000,0.9997,0.9998,0.9996,0.9997,127597200.0,1649030399999,127557549.2356,120015,64796864.0,64779427.2614,0,2022-04-03
LINKUSDT,1648944000000,17.4,18.32,17.15,18.08,3430897.49,1649030399999,61222535.4909,137165,1737913.49,31017745.4437,0,2022-04-03
WAVESUSDT,1648944000000,48.91,53.66,44.4,46.87,3358660.64,1649030399999,166022497.1317,381476,1617574.92,79743674.6911,0,2022-04-03
ONGUSDT,1648944000000,0.9039,0.9211,0.8709,0.8872,1141863.0,1649030399999,1017272.058,5731,574438.0,512182.1024,0,2022-04-03
HOTUSDT,1648944000000,0.006447,0.00725,0.00626,0.006891,6358385192.0,1649030399999,43161772.903855,231843,3081857820.0,20940708.714301,0,2022-04-03
ZILUSDT,1648944000000,0.16669,0.17529,0.14835,0.154,2543353659.7,1649030399999,411544067.22449297,884718,1290711631.3,209041957.089281,0,2022-04-03
ZRXUSDT,1648944000000,0.8513,0.95,0.8258,0.9125,27030780.0,1649030399999,23959385.2493,95398,14002605.0,12417323.0368,0,2022-04-03
FETUSDT,1648944000000,0.4596,0.4775,0.4551,0.4708,9898313.0,1649030399999,4612241.8111,15561,4972279.0,2318403.5343,0,2022-04-03
BATUSDT,1648944000000,0.9203,0.98,0.9108,0.9471,24797272.0,1649030399999,23360325.6876,97241,12010521.0,11326345.9009,0,2022-04-03
XMRUSDT,1648944000000,212.6,219.1,209.0,217.3,47642.237,1649030399999,10201756.344,32875,22728.313,4874745.0571,0,2022-04-03
ZECUSDT,1648944000000,177.7,182.3,173.7,179.7,97165.589,1649030399999,17300221.5791,61280,47088.785,8382986.8094,0,2022-04-03
IOSTUSDT,1648944000000,0.03854,0.04169,0.03738,0.0406,1366246256.0,1649030399999,54016707.5603,235754,669733968.0,26505827.32901,0,2022-04-03
CELRUSDT,1648944000000,0.06715,0.07141,0.06562,0.07027,275178123.8,1649030399999,18940743.139801,77437,129888550.7,8939215.234168,0,2022-04-03
DASHUSDT,1648944000000,127.4,135.0,124.5,132.6,150972.492,1649030399999,19726240.7448,78320,77731.271,10158705.0836,0,2022-04-03
OMGUSDT,1648944000000,6.04,6.278,5.804,6.018,3114597.8,1649030399999,18694049.4574,110061,1559546.2,9362262.3401,0,2022-04-03
THETAUSDT,1648944000000,4.077,4.15,3.931,4.04,7564126.5,1649030399999,30589272.3678,113070,3520949.8,14245657.8469,0,2022-04-03
ENJUSDT,1648944000000,1.857,1.914,1.795,1.878,8802050.9,1649030399999,16384128.6901,57346,4266414.7,7950168.7834,0,2022-04-03
MITHUSDT,1648944000000,0.04364,0.04664,0.04259,0.04525,99301739.2,1649030399999,4469102.13284,23950,50215583.1,2264540.301149,0,2022-04-03
MATICUSDT,1648944000000,1.653,1.713,1.632,1.688,36786552.8,1649030399999,61728276.6938,136241,18745211.2,31462646.7194,0,2022-04-03
ATOMUSDT,1648944000000,31.31,33.29,30.5,31.97,5782442.17,1649030399999,186467797.5634,366759,2904516.51,93747969.7321,0,2022-04-03
TFUELUSDT,1648944000000,0.2156,0.2194,0.207,0.2174,20183492.0,1649030399999,4309985.8118,27187,9659557.0,2065451.0517,0,2022-04-03
ONEUSDT,1648944000000,0.16152,0.17151,0.16,0.16913,165940811.7,1649030399999,27639728.14745,98106,80150981.0,13349762.468065,0,2022-04-03
FTMUSDT,1648944000000,1.5355,1.65,1.5126,1.6267,104804770.0,1649030399999,165791306.9156,275487,51462951.0,81476764.9063,0,2022-04-03
ALGOUSDT,1648944000000,0.9066,0.9478,0.888,0.9353,28740792.0,1649030399999,26510108.4024,89387,15094359.0,13923131.5832,0,2022-04-03
GTOUSDT,1648944000000,0.05525,0.0649,0.0542,0.05813,493133576.1,1649030399999,29525266.29449,126053,245965191.9,14751687.371189,0,2022-04-03
DOGEUSDT,1648944000000,0.1387,0.1496,0.1362,0.1466,1229288569.0,1649030399999,177342644.6458,227999,612465732.0,88342863.1189,0,2022-04-03
