Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date GMT+0
BTCUSDT,1545955200000,3567.89,3887.25,3540.04,3839.26,45964.304987,1546041599999,170638519.2472785,251040,24449.924653,90747704.9025186,0,2018-12-28
ETHUSDT,1545955200000,113.75,136.66,111.87,135.3,894454.19051,1546041599999,111865576.4977578,248671,451231.25265,56341444.4808119,0,2018-12-28
BNBUSDT,1545955200000,5.1818,5.8995,5.1003,5.8811,1505031.24,1546041599999,8318661.357344,20473,864643.37,4780850.102104,0,2018-12-28
NEOUSDT,1545955200000,6.8,7.98,6.655,7.801,1102712.114,1546041599999,8050298.937523,21329,560030.746,4098773.919028,0,2018-12-28
LTCUSDT,1545955200000,27.55,33.08,27.39,31.8,242123.8975,1546041599999,7428412.8216719,32631,116826.56577,3580572.6890376,0,2018-12-28
QTUMUSDT,1545955200000,2.079,2.356,2.021,2.326,390856.063,1546041599999,870097.798956,6377,178719.722,397811.442717,0,2018-12-28
ADAUSDT,1545955200000,0.03617,0.04195,0.03561,0.04111,174637271.5,1546041599999,6785711.928807,27959,91496659.7,3548652.747166,0,2018-12-28
XRPUSDT,1545955200000,0.3337,0.37559,0.32823,0.36997,133220344.3,1546041599999,47303924.001404,112497,69398083.0,24613705.04204,0,2018-12-28
EOSUSDT,1545955200000,2.264,2.6591,2.2137,2.5994,12546394.72,1546041599999,30899565.798066,98036,6388271.42,15721617.535854,0,2018-12-28
TUSDUSDT,1545955200000,0.9928,0.994,0.9815,0.9878,6504213.85,1546041599999,6434565.219278,12643,2715149.4,2687130.859381,0,2018-12-28
IOTAUSDT,1545955200000,0.3089,0.36,0.3058,0.3568,5992587.8,1546041599999,2007347.937159,10994,2894001.4,968775.124791,0,2018-12-28
XLMUSDT,1545955200000,0.10728,0.12099,0.10634,0.11878,42768505.9,1546041599999,4933624.188051,20645,24785887.4,2864985.82176,0,2018-12-28
ONTUSDT,1545955200000,0.5468,0.638,0.5303,0.616,6742999.99,1546041599999,3961875.9713542,17774,3101753.92,1826119.031311,0,2018-12-28
TRXUSDT,1545955200000,0.01798,0.02058,0.0175,0.0203,794371564.4,1546041599999,15262248.529819,47068,422820650.8,8121268.589963,0,2018-12-28
ETCUSDT,1545955200000,4.7035,5.3789,4.5943,5.1775,1437661.81,1546041599999,7147510.801411,23652,747750.37,3724333.604146,0,2018-12-28
ICXUSDT,1545955200000,0.2182,0.249,0.215,0.2453,6779532.51,1546041599999,1599146.886238,5554,3489523.27,823463.116782,0,2018-12-28
NULSUSDT,1545955200000,0.3773,0.4322,0.3756,0.4239,464890.88,1546041599999,186674.674979,3111,264241.99,105798.072228,0,2018-12-28
VETUSDT,1545955200000,0.003842,0.0044,0.00376,0.004297,456075768.6,1546041599999,1880411.197285,6433,222237308.1,920011.585875,0,2018-12-28
PAXUSDT,1545955200000,0.9918,0.9923,0.981,0.9861,6754021.27,1546041599999,6671492.141776,60643,3380451.9,3339590.732551,0,2018-12-28
BCHABCUSDT,1545955200000,146.47,174.68,139.2,170.36,265993.89902,1546041599999,42244047.8300714,109622,136470.61393,21637733.6042875,0,2018-12-28
BCHSVUSDT,1545955200000,83.47,92.66,80.47,91.48,198930.6453,1546041599999,17347408.3833732,64949,100893.38319,8797305.4249115,0,2018-12-28
USDCUSDT,1545955200000,0.993,0.9948,0.9817,0.9885,2741673.87,1546041599999,2712386.912847,5727,1038069.68,1027587.500393,0,2018-12-28
