Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date GMT+0
BTCUSDT,1649116800000,46580.5,47200.0,45353.81,45497.55,42192.74852,1649203199999,1951668192.9295096,1046080,20607.57735,953494654.4599283,0,2022-04-05
ETHUSDT,1649116800000,3519.5,3555.0,3400.0,3406.99,397782.7437,1649203199999,1383264215.874245,674184,191093.8907,665052981.216132,0,2022-04-05
BNBUSDT,1649116800000,447.6,460.0,444.1,444.7,761168.725,1649203199999,344439007.4977,424545,382016.051,172926288.293,0,2022-04-05
NEOUSDT,1649116800000,27.18,27.43,25.7,25.76,334269.97,1649203199999,8890473.9942,44800,151489.29,4027156.4346,0,2022-04-05
LTCUSDT,1649116800000,124.8,127.3,122.5,122.7,266800.707,1649203199999,33319919.9394,59272,131674.318,16450783.4512,0,2022-04-05
QTUMUSDT,1649116800000,8.244,8.32,7.746,7.8,1644759.5,1649203199999,13183542.4528,76485,933626.6,7482536.0688,0,2022-04-05
ADAUSDT,1649116800000,1.212,1.219,1.163,1.171,108831679.5,1649203199999,130155835.1592,204197,52266781.6,62537391.321,0,2022-04-05
XRPUSDT,1649116800000,0.8261,0.8366,0.8145,0.8164,174779509.0,1649203199999,144156926.2418,158487,87383871.0,72080970.0778,0,2022-04-05
EOSUSDT,1649116800000,2.891,2.912,2.736,2.753,14925402.8,1649203199999,42251783.7985,96463,7479448.6,21178130.4163,0,2022-04-05
TUSDUSDT,1649116800000,0.9998,1.0,0.9997,0.9999,27990434.0,1649203199999,27985780.6996,36034,17188539.0,17185399.3576,0,2022-04-05
IOTAUSDT,1649116800000,0.8645,0.8666,0.8176,0.8231,9839044.0,1649203199999,8314533.8881,46076,5282181.0,4465221.0635,0,2022-04-05
XLMUSDT,1649116800000,0.2319,0.2341,0.2237,0.2248,62286265.0,1649203199999,14285495.937,48150,28384505.0,6516406.3342,0,2022-04-05
ONTUSDT,1649116800000,0.6403,0.6468,0.6093,0.6127,7739928.0,1649203199999,4875657.2601,28332,4023868.0,2533514.4402,0,2022-04-05
TRXUSDT,1649116800000,0.0707,0.07181,0.06918,0.06928,1039780864.1,1649203199999,73400546.246722,161259,529461897.2,37393339.733841,0,2022-04-05
ETCUSDT,1649116800000,46.74,46.97,44.18,44.39,2005669.9,1649203199999,92021166.2061,109905,1001174.6,45911297.3595,0,2022-04-05
ICXUSDT,1649116800000,1.009,1.038,0.946,0.953,7425341.1,1649203199999,7374325.0814,28840,3190688.7,3172841.6672,0,2022-04-05
NULSUSDT,1649116800000,0.5728,0.675,0.5121,0.5129,64423497.0,1649203199999,38454390.3232,188978,31172959.0,18679549.9272,0,2022-04-05
VETUSDT,1649116800000,0.07892,0.08071,0.07566,0.07584,669699103.1,1649203199999,52636266.498265,197532,314402785.2,24693034.287318,0,2022-04-05
USDCUSDT,1649116800000,0.9998,0.9999,0.9997,0.9999,200385668.0,1649203199999,200344334.9441,86927,98455461.0,98439028.277,0,2022-04-05
