Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date GMT+0
BTCUSDT,1679702400000,27454.46,27787.33,27156.09,27462.95,50844.08102,1679788799999,1397227639.2141378,1088721,25326.94876,696042529.0839624,0,2023-03-25
ETHUSDT,1679702400000,1749.57,1763.23,1713.09,1741.88,355679.3743,1679788799999,620341997.183512,620651,174749.2834,304837439.681757,0,2023-03-25
BNBUSDT,1679702400000,322.1,324.9,319.0,322.4,317118.332,1679788799999,102246368.2079,203195,174392.846,56221565.0687,0,2023-03-25
NEOUSDT,1679702400000,12.38,12.44,11.73,12.04,465926.64,1679788799999,5625800.7331,31868,221230.23,2672882.3486,0,2023-03-25
LTCUSDT,1679702400000,93.58,94.31,90.01,91.5,684739.493,1679788799999,63230111.95689,156014,339970.736,31386488.72976,0,2023-03-25
QTUMUSDT,1679702400000,3.229,3.281,3.048,3.091,458380.0,1679788799999,1436403.9901,10233,224890.4,705068.2234,0,2023-03-25
ADAUSDT,1679702400000,0.3597,0.3628,0.3486,0.3514,83603550.1,1679788799999,29770936.38946,83654,37953417.1,13530304.2783,0,2023-03-25
XRPUSDT,1679702400000,0.426,0.465,0.4223,0.4429,635312958.0,1679788799999,284432424.3263,428283,323282019.0,144700617.778,0,2023-03-25
EOSUSDT,1679702400000,1.165,1.18,1.094,1.116,13498637.6,1679788799999,15378705.9566,50201,6399938.8,7298429.647,0,2023-03-25
TUSDUSDT,1679702400000,0.9987,0.9995,0.9982,0.9988,69169651.0,1679788799999,69087022.0194,65006,38838081.0,38795440.6315,0,2023-03-25
IOTAUSDT,1679702400000,0.2085,0.2107,0.2012,0.2049,13273811.0,1679788799999,2715899.623,19235,5843111.0,1199099.8514,0,2023-03-25
XLMUSDT,1679702400000,0.0888,0.093,0.0884,0.0907,75690941.0,1679788799999,6866159.2904,26458,34236292.0,3109696.7305,0,2023-03-25
ONTUSDT,1679702400000,0.2249,0.2261,0.2162,0.2203,9746535.0,1679788799999,2146367.9021,13756,4205903.0,930059.9155,0,2023-03-25
