Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date GMT+0
BTCUSDT,1579046400000,8814.64,8916.48,8564.0,8821.41,84816.297606,1579132799999,743712237.2790816,764048,42493.551026,372770745.1792992,0,2020-01-15
ETHUSDT,1579046400000,165.6,171.98,159.2,166.4,721687.80381,1579132799999,119239937.9299424,251183,350727.96393,57992191.9811916,0,2020-01-15
BNBUSDT,1579046400000,16.6301,18.19,16.27,17.6655,3041574.63,1579132799999,52607260.349492,121402,1559844.57,26981335.257957,0,2020-01-15
NEOUSDT,1579046400000,11.203,12.0,10.714,11.412,708069.877,1579132799999,8096908.467206,20902,353814.115,4051816.099087,0,2020-01-15
LTCUSDT,1579046400000,58.37,60.33,55.28,58.16,720369.64189,1579132799999,41857129.9763231,137194,351957.40768,20462906.0660906,0,2020-01-15
QTUMUSDT,1579046400000,1.913,2.113,1.882,1.974,3136363.937,1579132799999,6217748.153791,46393,1584750.064,3143429.366603,0,2020-01-15
ADAUSDT,1579046400000,0.04161,0.04324,0.04001,0.04275,317415252.7,1579132799999,13254733.778384,39538,159042953.5,6646967.919466,0,2020-01-15
XRPUSDT,1579046400000,0.23455,0.24356,0.2263,0.23367,237606461.8,1579132799999,55956373.09643,154497,116913891.5,27542230.713212,0,2020-01-15
EOSUSDT,1579046400000,3.81,3.9499,3.57,3.7675,18024689.4,1579132799999,67764595.698577,153218,8928801.19,33582923.010679,0,2020-01-15
TUSDUSDT,1579046400000,0.9994,1.003,0.9994,1.0014,4396536.4,1579132799999,4403198.96904,13352,2342042.6,2345711.432662,0,2020-01-15
IOTAUSDT,1579046400000,0.2098,0.2349,0.2073,0.2335,14770455.1,1579132799999,3263103.145354,14131,7746823.74,1711955.720709,0,2020-01-15
XLMUSDT,1579046400000,0.0528,0.05674,0.05155,0.0548,174397966.4,1579132799999,9471130.752869,44779,88007199.4,4777869.137006,0,2020-01-15
ONTUSDT,1579046400000,0.6757,0.748,0.6611,0.6991,12394182.0,1579132799999,8717422.095315,30866,6011826.08,4228146.97471,0,2020-01-15
TRXUSDT,1579046400000,0.01676,0.01824,0.01609,0.01729,1724069081.5,1579132799999,29786951.906605,125581,846330074.3,14623288.390156,0,2020-01-15
ETCUSDT,1579046400000,6.7834,8.1277,6.6222,7.9911,10584307.67,1579132799999,78218480.95328,264958,5279753.08,39019811.757924,0,2020-01-15
ICXUSDT,1579046400000,0.1387,0.152,0.1355,0.143,9404696.01,1579132799999,1349911.333035,6769,4523842.67,649491.393597,0,2020-01-15
NULSUSDT,1579046400000,0.2467,0.2754,0.2439,0.2584,740569.13,1579132799999,192448.803461,2668,445013.78,116236.812529,0,2020-01-15
VETUSDT,1579046400000,0.005993,0.006248,0.005734,0.006003,1490447526.0,1579132799999,8924151.516644,43423,703585650.0,4213644.821574,0,2020-01-15
PAXUSDT,1579046400000,0.9991,1.015,0.9988,1.0014,4638328.03,1579132799999,4646013.732861,11300,2326539.78,2330956.043114,0,2020-01-15
USDCUSDT,1579046400000,0.9997,1.0029,0.9994,1.0013,11585747.95,1579132799999,11604271.993899,33748,4233455.08,4240174.015988,0,2020-01-15
LINKUSDT,1579046400000,2.3751,2.5604,2.3332,2.3953,6414464.86,1579132799999,15725822.570767,47821,3121874.18,7654515.310361,0,2020-01-15
WAVESUSDT,1579046400000,0.8634,0.925,0.8574,0.896,1767351.71,1579132799999,1575034.691774,11451,915352.78,816836.29506,0,2020-01-15
BTTUSDT,1579046400000,0.0003495,0.0003853,0.0003384,0.0003746,12417445427.0,1579132799999,4561333.3762097,28097,6252422969.0,2300441.1124972,0,2020-01-15
