Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date GMT+0
BTCUSDT,1682985600000,28068.26,28879.88,27872.0,28669.86,50824.5224,1683071999999,1441733922.0116444,1174697,24789.36748,703206831.7801807,0,2023-05-02
ETHUSDT,1682985600000,1830.73,1881.87,1822.94,1870.08,373753.2027,1683071999999,690907892.110455,563768,184439.1031,340877324.218158,0,2023-05-02
BNBUSDT,1682985600000,328.4,328.5,321.4,321.5,437446.281,1683071999999,141881359.3589,262049,212959.132,69071294.8659,0,2023-05-02
NEOUSDT,1682985600000,10.28,10.52,10.14,10.3,785671.97,1683071999999,8084977.1776,25704,471834.7,4852333.111,0,2023-05-02
LTCUSDT,1682985600000,86.76,89.18,86.0,88.2,425254.867,1683071999999,37377898.53279,108466,220777.738,19407048.71975,0,2023-05-02
QTUMUSDT,1682985600000,2.792,2.796,2.722,2.776,273854.6,1683071999999,756635.3191,6089,119804.7,331053.0413,0,2023-05-02
ADAUSDT,1682985600000,0.3867,0.3947,0.3816,0.3916,62002108.1,1683071999999,24069912.67256,62646,30913638.9,12001431.58021,0,2023-05-02
XRPUSDT,1682985600000,0.4648,0.4662,0.4574,0.4645,330734355.0,1683071999999,152988821.87,164966,193531826.0,89527161.8275,0,2023-05-02
EOSUSDT,1682985600000,1.008,1.031,1.006,1.022,4691534.4,1683071999999,4787356.0241,13059,2304334.3,2351644.1308,0,2023-05-02
TUSDUSDT,1682985600000,1.0029,1.0034,0.9986,0.9988,433173269.0,1683071999999,433452453.2646,125379,193318946.0,193465648.5558,0,2023-05-02
IOTAUSDT,1682985600000,0.1933,0.1958,0.1912,0.1957,7270441.0,1683071999999,1407831.9775,10005,3279242.0,635197.4201,0,2023-05-02
XLMUSDT,1682985600000,0.0926,0.0937,0.0918,0.0935,22161748.0,1683071999999,2052709.4831,10962,9698134.0,898684.2538,0,2023-05-02
ONTUSDT,1682985600000,0.2286,0.2324,0.2257,0.2319,5657539.0,1683071999999,1295573.9436,7738,2730692.0,625400.6948,0,2023-05-02
TRXUSDT,1682985600000,0.06851,0.06992,0.06717,0.06922,373485527.1,1683071999999,25584949.173761,91545,191203363.5,13101555.620352,0,2023-05-02
ETCUSDT,1682985600000,19.2,19.37,18.92,19.25,237314.44,1683071999999,4545247.7103,19534,129486.94,2480380.1684,0,2023-05-02
ICXUSDT,1682985600000,0.2749,0.2793,0.2675,0.2784,9129341.6,1683071999999,2489919.65302,12581,4544450.2,1239469.18926,0,2023-05-02
NULSUSDT,1682985600000,0.2337,0.2465,0.2318,0.2439,2246918.0,1683071999999,538048.5861,5206,1175474.0,281709.1822,0,2023-05-02
VETUSDT,1682985600000,0.02148,0.02154,0.02068,0.02118,596855087.9,1683071999999,12580452.302825,50655,228448987.1,4818391.378344,0,2023-05-02
USDCUSDT,1682985600000,0.9997,1.0001,0.9994,0.9994,271219536.0,1683071999999,271153720.4445,66084,128439863.0,128413575.1812,0,2023-05-02
LINKUSDT,1682985600000,6.896,7.013,6.8,6.987,2077200.39,1683071999999,14355313.93847,37650,1038921.04,7180147.3744,0,2023-05-02
WAVESUSDT,1682985600000,1.848,1.872,1.812,1.857,2814387.04,1683071999999,5198237.5577,22487,1549293.69,2864540.29372,0,2023-05-02
ONGUSDT,1682985600000,0.2782,0.2805,0.2663,0.2799,375208.0,1683071999999,103389.4655,1135,168913.0,46682.6656,0,2023-05-02
HOTUSDT,1682985600000,0.001818,0.001855,0.0018,0.001836,826772990.0,1683071999999,1507807.348623,9734,428606776.0,782467.435846,0,2023-05-02
ZILUSDT,1682985600000,0.02702,0.02746,0.02646,0.02721,153989147.0,1683071999999,4141792.049991,23782,76067695.6,2045235.548351,0,2023-05-02
ZRXUSDT,1682985600000,0.247,0.2494,0.2394,0.2479,3118257.0,1683071999999,761583.7722,6121,1412938.0,345128.068,0,2023-05-02
FETUSDT,1682985600000,0.3183,0.3212,0.3112,0.3187,23953321.0,1683071999999,7587479.5593,37161,12216685.0,3870808.6049,0,2023-05-02
BATUSDT,1682985600000,0.2353,0.2393,0.2331,0.2386,3176606.0,1683071999999,749346.3211,7544,1629164.0,384380.3579,0,2023-05-02
XMRUSDT,1682985600000,152.7,154.9,152.3,152.7,47123.919,1683071999999,7239231.7532,25799,28523.419,4382870.4694,0,2023-05-02
ZECUSDT,1682985600000,36.4,37.1,36.1,36.7,63990.794,1683071999999,2346921.4888,6822,35830.082,1316091.5465,0,2023-05-02
IOSTUSDT,1682985600000,0.01028,0.01043,0.01015,0.01037,58115524.0,1683071999999,598887.91555,5671,27208385.0,280478.66696,0,2023-05-02
CELRUSDT,1682985600000,0.02262,0.02307,0.02213,0.02275,112886317.0,1683071999999,2557230.506731,13092,53498773.3,1211816.731055,0,2023-05-02
DASHUSDT,1682985600000,48.31,48.88,47.51,48.54,35686.059,1683071999999,1722374.16542,13736,17005.812,820716.08056,0,2023-05-02
OMGUSDT,1682985600000,1.047,1.133,1.028,1.117,11311479.4,1683071999999,12381605.0843,40653,5865332.3,6418735.1679,0,2023-05-02
THETAUSDT,1682985600000,0.987,0.992,0.973,0.984,1554527.3,1683071999999,1528448.7085,11843,670087.2,659280.0491,0,2023-05-02
ENJUSDT,1682985600000,0.3754,0.3792,0.3705,0.3773,3459732.3,1683071999999,1296783.03178,13910,1634936.7,613068.83761,0,2023-05-02
MATICUSDT,1682985600000,0.9592,0.9807,0.9517,0.9768,40560596.1,1683071999999,39146088.8441,91735,20631065.5,19915804.99982,0,2023-05-02
ATOMUSDT,1682985600000,11.0,11.11,10.884,11.03,974178.79,1683071999999,10719713.5445,45961,483518.93,5322189.68632,0,2023-05-02
TFUELUSDT,1682985600000,0.0484,0.0487,0.0475,0.0483,11317970.0,1683071999999,543362.6681,4477,5254747.0,252355.5933,0,2023-05-02
ONEUSDT,1682985600000,0.01874,0.01922,0.01844,0.019,127792104.4,1683071999999,2405984.55413,18615,61622004.2,1160044.649438,0,2023-05-02
FTMUSDT,1682985600000,0.4131,0.4206,0.4066,0.4164,47044323.0,1683071999999,19471264.1452,51079,23091830.0,9557621.1005,0,2023-05-02
ALGOUSDT,1682985600000,0.1774,0.1795,0.1742,0.1788,17149618.0,1683071999999,3029867.9078,20728,9160310.0,1618585.4578,0,2023-05-02
DOGEUSDT,1682985600000,0.07882,0.0791,0.07754,0.07876,429294264.0,1683071999999,33714938.36088,68314,204535125.0,16066235.34196,0,2023-05-02
DUSKUSDT,1682985600000,0.1585,0.1622,0.157,0.1618,4845240.0,1683071999999,773735.3948,8526,2152005.0,343918.7979,0,2023-05-02
ANKRUSDT,1682985600000,0.02963,0.03005,0.0291,0.02994,82460389.1,1683071999999,2437156.234845,12372,36491118.1,1079103.358208,0,2023-05-02
WINUSDT,1682985600000,8.2e-05,8.25e-05,8.08e-05,8.12e-05,4931816893.0,1683071999999,401965.4859136,4622,2398920992.0,195616.1856358,0,2023-05-02
COSUSDT,1682985600000,0.00641,0.00652,0.00636,0.00646,28468894.1,1683071999999,183141.150612,2647,13711658.3,88279.353978,0,2023-05-02
COCOSUSDT,1682985600000,1.7435,1.8286,1.6962,1.7609,5526225.0,1683071999999,9718820.469,42667,2597245.0,4568668.941,0,2023-05-02
MTLUSDT,1682985600000,1.106,1.13,1.095,1.129,385416.8,1683071999999,430273.1734,2626,189109.6,211410.8919,0,2023-05-02
TOMOUSDT,1682985600000,0.8611,0.8612,0.7773,0.7808,5583828.3,1683071999999,4523175.20495,23155,2867896.8,2322304.89451,0,2023-05-02
PERLUSDT,1682985600000,0.02663,0.02693,0.02571,0.02646,20725607.4,1683071999999,541874.701395,4490,9511970.7,248881.684638,0,2023-05-02
DENTUSDT,1682985600000,0.000913,0.000933,0.000899,0.000924,1039198470.0,1683071999999,952355.838966,4936,506112266.0,464032.685633,0,2023-05-02
KEYUSDT,1682985600000,0.006603,0.006888,0.0065,0.006735,290601943.0,1683071999999,1939403.690747,10060,138101743.0,921482.5544,0,2023-05-02
DOCKUSDT,1682985600000,0.0193,0.01984,0.01912,0.0196,7802281.0,1683071999999,151100.53255,1933,3433627.0,66675.12723,0,2023-05-02
WANUSDT,1682985600000,0.2361,0.2475,0.2333,0.2416,711891.0,1683071999999,170017.3063,2540,364129.0,87116.2853,0,2023-05-02
FUNUSDT,1682985600000,0.005752,0.005788,0.005648,0.005673,21555547.0,1683071999999,123326.127895,2254,8572198.0,49107.780347,0,2023-05-02
CHZUSDT,1682985600000,0.1277,0.1285,0.1237,0.127,50840001.0,1683071999999,6410327.4696,24255,25213856.0,3179618.8962,0,2023-05-02
BANDUSDT,1682985600000,1.673,1.716,1.66,1.703,867676.7,1683071999999,1466803.2626,12048,456985.8,772917.3751,0,2023-05-02
BUSDUSDT,1682985600000,0.9994,1.0,0.9993,0.9995,294602905.0,1683071999999,294495080.2629,210980,139748579.0,139700005.5538,0,2023-05-02
XTZUSDT,1682985600000,0.983,0.996,0.978,0.991,1777710.2,1683071999999,1755258.0861,8119,915437.0,903956.4906,0,2023-05-02
RENUSDT,1682985600000,0.088011,0.08949,0.086871,0.08908,7696438.0,1683071999999,678900.66458,5208,3348681.0,295752.47461,0,2023-05-02
RVNUSDT,1682985600000,0.02311,0.02335,0.02282,0.02316,43515637.1,1683071999999,1004167.328166,10400,20810989.8,480297.562784,0,2023-05-02
HBARUSDT,1682985600000,0.0593,0.0594,0.0575,0.0588,68947284.0,1683071999999,4029017.0868,18195,35113600.0,2052459.6672,0,2023-05-02
NKNUSDT,1682985600000,0.1066,0.1081,0.1048,0.1079,5835046.0,1683071999999,619162.8006,4607,2887272.0,306824.5973,0,2023-05-02
STXUSDT,1682985600000,0.6818,0.7735,0.6786,0.755,27174981.1,1683071999999,20086317.02952,100124,13791517.1,10194091.57927,0,2023-05-02
KAVAUSDT,1682985600000,0.759,0.786,0.754,0.772,5704474.9,1683071999999,4394157.254,16916,3065848.6,2363268.676,0,2023-05-02
ARPAUSDT,1682985600000,0.0388,0.03977,0.03844,0.03969,25391913.9,1683071999999,995020.786117,10749,12301837.3,482302.852681,0,2023-05-02
IOTXUSDT,1682985600000,0.02441,0.02483,0.02408,0.02476,37213816.0,1683071999999,910075.65375,8080,19300235.0,472354.37933,0,2023-05-02
RLCUSDT,1682985600000,1.868,2.132,1.85,1.982,11289891.2,1683071999999,22636119.2402,96087,5625960.5,11279797.6729,0,2023-05-02
CTXCUSDT,1682985600000,0.1893,0.196,0.1883,0.1935,2055275.0,1683071999999,394741.0929,5304,1062422.0,204179.5646,0,2023-05-02
BCHUSDT,1682985600000,117.0,119.7,116.3,119.3,24470.907,1683071999999,2894612.7302,14846,10160.86,1201909.7858,0,2023-05-02
TROYUSDT,1682985600000,0.003043,0.003183,0.003019,0.003174,120882476.0,1683071999999,376264.405934,4766,63307318.0,197262.536127,0,2023-05-02
VITEUSDT,1682985600000,0.02075,0.02123,0.02069,0.021,11448819.0,1683071999999,239434.770731,2188,4525884.7,94992.142835,0,2023-05-02
EURUSDT,1682985600000,1.0924,1.0986,1.0912,1.097,31329767.5,1683071999999,34311790.34784,83869,14618241.4,16008388.75586,0,2023-05-02
OGNUSDT,1682985600000,0.1073,0.1098,0.1057,0.1092,5902965.0,1683071999999,635301.8494,5658,2882789.0,310055.8497,0,2023-05-02
DREPUSDT,1682985600000,0.3933,0.4298,0.3916,0.4091,2514432.0,1683071999999,1030170.4023,7833,1264112.0,517038.9197,0,2023-05-02
WRXUSDT,1682985600000,0.1544,0.1587,0.1523,0.1578,1491048.6,1683071999999,231283.90439,3016,711593.4,110398.02901,0,2023-05-02
BTSUSDT,1682985600000,0.00979,0.0102,0.00972,0.0101,19314405.6,1683071999999,192609.958924,2622,9639733.4,96146.266849,0,2023-05-02
LSKUSDT,1682985600000,0.931,0.939,0.915,0.938,133984.5,1683071999999,124007.8575,2101,64058.4,59362.3879,0,2023-05-02
BNTUSDT,1682985600000,0.4591,0.4759,0.4566,0.4725,545182.4,1683071999999,254477.65784,4000,280822.9,131123.79464,0,2023-05-02
LTOUSDT,1682985600000,0.0995,0.1059,0.0993,0.1013,13152146.0,1683071999999,1349108.2008,7916,6969552.0,716895.7277,0,2023-05-02
MBLUSDT,1682985600000,0.003096,0.003142,0.003028,0.003106,76731776.0,1683071999999,236097.024988,4051,35922275.0,110609.555894,0,2023-05-02
COTIUSDT,1682985600000,0.0754,0.0799,0.0748,0.0783,27474358.0,1683071999999,2122011.2503,13796,14897046.0,1151519.649,0,2023-05-02
STPTUSDT,1682985600000,0.04667,0.04768,0.04548,0.04665,7502095.8,1683071999999,347463.548671,4025,4316890.3,200183.948051,0,2023-05-02
WTCUSDT,1682985600000,0.1855,0.1939,0.1827,0.1901,2972748.0,1683071999999,562458.259,3250,1430738.0,271296.2324,0,2023-05-02
DATAUSDT,1682985600000,0.03213,0.033,0.03186,0.03276,4563213.4,1683071999999,147631.052503,1650,2577775.8,83169.267588,0,2023-05-02
SOLUSDT,1682985600000,21.95,22.38,21.75,22.25,2566813.09,1683071999999,56694549.2913,87272,1268628.89,28034876.7081,0,2023-05-02
CTSIUSDT,1682985600000,0.2214,0.2228,0.2068,0.2098,44564999.0,1683071999999,9456694.0632,37628,21167214.0,4489045.2127,0,2023-05-02
HIVEUSDT,1682985600000,0.3983,0.402,0.3901,0.4001,918687.0,1683071999999,362341.6273,4296,488069.0,192416.1424,0,2023-05-02
CHRUSDT,1682985600000,0.1509,0.1537,0.1494,0.1528,6307186.0,1683071999999,957683.7813,5636,2766360.0,420155.6144,0,2023-05-02
BTCUPUSDT,1682985600000,5.821,6.109,5.761,6.026,99807.47,1683071999999,589965.21416,10321,53886.04,319219.66221,0,2023-05-02
BTCDOWNUSDT,1682985600000,0.008246,0.008331,0.007858,0.00796,157995254.7,1683071999999,1281162.65405989,14995,72064800.4,585084.03768526,0,2023-05-02
ARDRUSDT,1682985600000,0.0861,0.0874,0.086,0.087,1569457.0,1683071999999,136100.851,1682,909771.0,78900.55,0,2023-05-02
MDTUSDT,1682985600000,0.04472,0.049,0.04422,0.04564,160496164.7,1683071999999,7498512.389513,44367,81222924.6,3798452.476446,0,2023-05-02
STMXUSDT,1682985600000,0.005286,0.005393,0.005225,0.005331,154526847.0,1683071999999,819465.044159,6949,78150870.0,414596.24484,0,2023-05-02
KNCUSDT,1682985600000,0.673,0.679,0.663,0.677,886047.8,1683071999999,596110.5141,4342,432967.6,291473.9244,0,2023-05-02
LRCUSDT,1682985600000,0.3272,0.3317,0.3227,0.3293,5901250.0,1683071999999,1933806.8345,9351,2944218.0,964920.2561,0,2023-05-02
PNTUSDT,1682985600000,0.1781,0.1831,0.1772,0.1794,1214929.0,1683071999999,218511.743,2576,591893.0,106604.6389,0,2023-05-02
COMPUSDT,1682985600000,39.97,40.18,39.34,39.83,24303.93,1683071999999,967493.47883,6358,12282.806,489081.88925,0,2023-05-02
SCUSDT,1682985600000,0.00382,0.00387,0.00375,0.00382,85008754.0,1683071999999,323266.81297,3181,41567111.0,158323.37569,0,2023-05-02
ZENUSDT,1682985600000,9.44,9.54,9.28,9.5,75000.89,1683071999999,706392.1049,5490,30907.51,291235.9887,0,2023-05-02
SNXUSDT,1682985600000,2.347,2.466,2.323,2.444,2040116.5,1683071999999,4846210.0941,23834,923479.8,2192677.2532,0,2023-05-02
ETHUPUSDT,1682985600000,5.352,5.66,5.29,5.579,133346.49,1683071999999,727670.35038,12708,70280.91,384303.57732,0,2023-05-02
ETHDOWNUSDT,1682985600000,0.2435,0.2461,0.2273,0.2312,5471994.29,1683071999999,1303610.361703,15766,2623430.88,625485.635214,0,2023-05-02
ADAUPUSDT,1682985600000,0.435,0.456,0.42,0.447,1279517.32,1683071999999,560819.61727,9463,600833.89,263921.21595,0,2023-05-02
ADADOWNUSDT,1682985600000,0.002117,0.00216,0.00205,0.002076,235145281.67,1683071999999,494842.88156194,6650,112689193.12,237510.87891459,0,2023-05-02
VTHOUSDT,1682985600000,0.001378,0.001405,0.001346,0.001366,271165188.0,1683071999999,370665.979472,3965,160955736.0,220253.483543,0,2023-05-02
DGBUSDT,1682985600000,0.00904,0.00919,0.00896,0.00913,25300756.2,1683071999999,229365.372346,3565,12659098.7,114832.84731,0,2023-05-02
GBPUSDT,1682985600000,1.244,1.251,1.239,1.242,3971461.0,1683071999999,4936672.896,8661,1779795.1,2213063.478,0,2023-05-02
SXPUSDT,1682985600000,0.5434,0.607,0.5396,0.5603,34053869.3,1683071999999,19556665.49849,149387,16576207.2,9517256.37014,0,2023-05-02
MKRUSDT,1682985600000,702.0,716.0,698.0,699.0,4595.7411,1683071999999,3246364.7937,13678,1985.6396,1402774.2514,0,2023-05-02
DCRUSDT,1682985600000,17.61,17.99,17.5,17.87,9080.459,1683071999999,160871.04866,1842,4690.417,83181.89018,0,2023-05-02
STORJUSDT,1682985600000,0.3404,0.3431,0.3347,0.3424,798006.0,1683071999999,270213.4168,2872,358292.0,121408.2824,0,2023-05-02
BNBUPUSDT,1682985600000,59.3,59.46,56.31,56.56,5564.23,1683071999999,320661.5847,8511,2097.29,121100.7808,0,2023-05-02
BNBDOWNUSDT,1682985600000,0.00996,0.01029,0.00995,0.01023,19492131.05,1683071999999,197219.5985759,5055,12411704.69,125612.1831508,0,2023-05-02
MANAUSDT,1682985600000,0.5264,0.5335,0.5207,0.5317,6918794.0,1683071999999,3648352.0705,22751,3363306.0,1773727.2698,0,2023-05-02
AUDUSDT,1682985600000,0.6623,0.6729,0.6623,0.6665,17130077.0,1683071999999,11442139.3074,17539,8572018.0,5724823.1715,0,2023-05-02
YFIUSDT,1682985600000,7974.0,8038.0,7870.0,7969.0,173.33134,1683071999999,1376988.89725,15414,84.85589,674219.04219,0,2023-05-02
BALUSDT,1682985600000,5.892,6.063,5.848,6.032,61383.84,1683071999999,366540.30443,4378,31099.87,185746.55021,0,2023-05-02
BLZUSDT,1682985600000,0.072,0.0743,0.0713,0.074,8643964.0,1683071999999,626834.042,4620,4197300.0,304619.9231,0,2023-05-02
IRISUSDT,1682985600000,0.0265,0.02662,0.0258,0.02631,15422246.8,1683071999999,404870.504995,3206,7211011.6,189525.033804,0,2023-05-02
KMDUSDT,1682985600000,0.3026,0.3966,0.3,0.3435,35541081.0,1683071999999,12676920.8476,81550,18037660.0,6433527.1283,0,2023-05-02
JSTUSDT,1682985600000,0.0257,0.0257,0.02456,0.02503,44662301.6,1683071999999,1112880.848875,7091,17206063.1,428038.719852,0,2023-05-02
ANTUSDT,1682985600000,3.091,3.19,3.041,3.076,391309.7,1683071999999,1214763.4793,10093,197377.6,612909.1884,0,2023-05-02
