Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date GMT+0
BTCUSDT,1724025600000,58427.35,59617.63,57787.3,59438.5,22809.31251,1724111999999,1336287900.197634,1636295,11350.30776,665066212.7595356,0,2024-08-19
ETHUSDT,1724025600000,2612.15,2648.08,2563.58,2636.36,224867.1336,1724111999999,585578272.443482,1156033,112686.5275,293606287.965002,0,2024-08-19
BNBUSDT,1724025600000,531.3,560.7,529.1,558.4,233275.352,1724111999999,126752012.1447,369716,119969.847,65225669.1925,0,2024-08-19
NEOUSDT,1724025600000,9.2,10.07,9.17,9.75,517086.13,1724111999999,4977084.366,27972,284925.53,2742954.1832,0,2024-08-19
LTCUSDT,1724025600000,66.34,67.42,65.59,66.32,325938.679,1724111999999,21704286.66393,140637,143897.262,9581815.15379,0,2024-08-19
QTUMUSDT,1724025600000,2.219,2.346,2.198,2.338,469405.5,1724111999999,1074849.1289,12294,266345.0,610217.9517,0,2024-08-19
ADAUSDT,1724025600000,0.3342,0.3378,0.3276,0.3367,59429594.3,1724111999999,19788254.56697,92479,28021707.1,9337897.59847,0,2024-08-19
XRPUSDT,1724025600000,0.5631,0.6091,0.5608,0.5985,387069502.0,1724111999999,226032960.1027,540652,191859831.0,112117078.1968,0,2024-08-19
EOSUSDT,1724025600000,0.492,0.4975,0.4781,0.49,20657094.6,1724111999999,10090762.04733,43955,9630439.6,4702678.53789,0,2024-08-19
TUSDUSDT,1724025600000,0.9989,0.9991,0.9987,0.9989,782187.0,1724111999999,781279.9111,6810,291733.0,291407.8055,0,2024-08-19
IOTAUSDT,1724025600000,0.1294,0.1325,0.1284,0.1319,14621208.0,1724111999999,1909747.0858,12706,7449379.0,973147.5929,0,2024-08-19
XLMUSDT,1724025600000,0.0935,0.0964,0.093,0.0963,44461189.0,1724111999999,4202004.4998,36572,22007524.0,2080317.5593,0,2024-08-19
ONTUSDT,1724025600000,0.1702,0.1765,0.1653,0.1762,5318910.0,1724111999999,898992.1009,9905,2707269.0,458529.141,0,2024-08-19
TRXUSDT,1724025600000,0.1351,0.1436,0.134,0.1432,791856905.5,1724111999999,110191927.332814,216860,419156174.1,58352440.142244,0,2024-08-19
ETCUSDT,1724025600000,18.57,19.04,18.51,18.94,249304.23,1724111999999,4688387.4884,28193,125148.92,2354015.5236,0,2024-08-19
ICXUSDT,1724025600000,0.1287,0.1333,0.1262,0.1325,5939256.5,1724111999999,771608.10834,12740,3066176.8,398660.07877,0,2024-08-19
NULSUSDT,1724025600000,0.2481,0.3688,0.2419,0.3017,72979391.0,1724111999999,22603272.5796,225630,37532296.0,11624315.7633,0,2024-08-19
VETUSDT,1724025600000,0.02223,0.02297,0.02214,0.02291,130071690.2,1724111999999,2936311.022719,39126,63165655.2,1427226.469219,0,2024-08-19
USDCUSDT,1724025600000,0.9999,0.9999,0.9995,0.9996,805428767.0,1724111999999,805197492.2731,241597,349200444.0,349112340.6728,0,2024-08-19
LINKUSDT,1724025600000,10.09,10.2,9.94,10.19,1446198.29,1724111999999,14553574.2244,63945,692995.14,6975042.0346,0,2024-08-19
ONGUSDT,1724025600000,0.2829,0.2992,0.2788,0.299,3145479.0,1724111999999,908432.5804,11297,1621344.0,468309.843,0,2024-08-19
HOTUSDT,1724025600000,0.001361,0.001433,0.001346,0.00142,742486547.0,1724111999999,1023550.173942,12374,386474335.0,534565.575769,0,2024-08-19
ZILUSDT,1724025600000,0.01336,0.01374,0.01305,0.0137,167499035.8,1724111999999,2234092.832374,18301,74549732.5,995339.599469,0,2024-08-19
ZRXUSDT,1724025600000,0.3018,0.3091,0.2975,0.3086,3755268.0,1724111999999,1137471.453,10731,1899537.0,575153.8207,0,2024-08-19
FETUSDT,1724025600000,0.817,0.926,0.804,0.914,49194354.4,1724111999999,42109019.0821,168038,25696957.9,22026268.7193,0,2024-08-19
BATUSDT,1724025600000,0.1637,0.1689,0.1607,0.1689,4068576.0,1724111999999,669669.6684,8672,2121688.0,349201.608,0,2024-08-19
ZECUSDT,1724025600000,42.77,43.56,40.85,41.92,95180.571,1724111999999,4009067.49477,29246,53318.666,2249750.74839,0,2024-08-19
IOSTUSDT,1724025600000,0.00501,0.00519,0.00494,0.00519,184971499.0,1724111999999,938928.52155,7692,86417007.0,439009.8386,0,2024-08-19
CELRUSDT,1724025600000,0.01097,0.01128,0.01078,0.01113,110594870.0,1724111999999,1222842.177282,12710,54422205.0,601227.581434,0,2024-08-19
DASHUSDT,1724025600000,25.89,26.05,25.27,26.05,52879.404,1724111999999,1357704.81252,14982,27692.889,711028.32963,0,2024-08-19
THETAUSDT,1724025600000,1.128,1.166,1.106,1.163,2656303.6,1724111999999,3015066.7255,19155,1198664.8,1360444.5396,0,2024-08-19
ENJUSDT,1724025600000,0.1383,0.1411,0.1354,0.1388,9143710.5,1724111999999,1261502.70668,15198,4282738.3,590992.17191,0,2024-08-19
MATICUSDT,1724025600000,0.4117,0.4305,0.4093,0.4301,59537048.9,1724111999999,25066843.69742,135588,28471349.8,11990983.11724,0,2024-08-19
ATOMUSDT,1724025600000,4.568,4.642,4.507,4.636,1278582.97,1724111999999,5851558.23009,41207,628773.77,2878695.14446,0,2024-08-19
TFUELUSDT,1724025600000,0.0547,0.05613,0.05379,0.05602,14469382.0,1724111999999,792976.86811,13983,7479219.0,410426.40751,0,2024-08-19
ONEUSDT,1724025600000,0.01087,0.01102,0.01061,0.01101,112019150.0,1724111999999,1208515.498408,14736,53122531.0,574027.948077,0,2024-08-19
FTMUSDT,1724025600000,0.3903,0.395,0.375,0.3908,80273160.0,1724111999999,30830802.1577,124819,39762403.0,15281213.9261,0,2024-08-19
ALGOUSDT,1724025600000,0.1188,0.1248,0.1171,0.1237,27423276.0,1724111999999,3314031.419,37436,14861376.0,1797702.7111,0,2024-08-19
DOGEUSDT,1724025600000,0.10005,0.10193,0.09857,0.10133,461658956.0,1724111999999,46197008.08576,307586,227403061.0,22759953.80736,0,2024-08-19
DUSKUSDT,1724025600000,0.1838,0.1912,0.1807,0.1894,10343865.0,1724111999999,1920238.7844,21104,4955514.0,921505.7465,0,2024-08-19
ANKRUSDT,1724025600000,0.0247,0.0258,0.02439,0.02575,48486514.5,1724111999999,1213660.985166,12994,22617327.7,567287.887678,0,2024-08-19
WINUSDT,1724025600000,8.43e-05,9.46e-05,8.35e-05,9.01e-05,39945489037.0,1724111999999,3552864.1378758,30816,20414911234.0,1818614.8388694,0,2024-08-19
COSUSDT,1724025600000,0.006613,0.0083,0.00654,0.007584,2208142472.0,1724111999999,16388352.9517115,147625,1158697809.5,8605414.8189462,0,2024-08-19
MTLUSDT,1724025600000,0.925,0.946,0.91,0.941,800082.0,1724111999999,742208.3149,8193,344030.3,319708.8309,0,2024-08-19
DENTUSDT,1724025600000,0.000766,0.0008,0.000758,0.000793,1217858372.0,1724111999999,951590.094142,7669,539559399.0,421172.645736,0,2024-08-19
KEYUSDT,1724025600000,0.004681,0.00515,0.004621,0.004805,1325456575.0,1724111999999,6415017.25563,73004,628363323.0,3046441.682543,0,2024-08-19
WANUSDT,1724025600000,0.1648,0.1712,0.1617,0.171,4693053.0,1724111999999,780917.7367,20917,2203948.0,367281.7118,0,2024-08-19
FUNUSDT,1724025600000,0.003094,0.003293,0.003051,0.00328,247008211.0,1724111999999,783379.427484,17156,127711833.0,405833.844039,0,2024-08-19
CVCUSDT,1724025600000,0.09,0.0972,0.0884,0.0954,18255630.0,1724111999999,1698582.5851,22360,8453532.0,787581.2732,0,2024-08-19
CHZUSDT,1724025600000,0.0537,0.0545,0.0526,0.0544,32823399.0,1724111999999,1758544.1646,16675,14933799.0,800514.2128,0,2024-08-19
BANDUSDT,1724025600000,1.087,1.1,1.059,1.087,636090.2,1724111999999,686310.4574,9951,324087.5,350226.4606,0,2024-08-19
XTZUSDT,1724025600000,0.647,0.662,0.644,0.659,2030010.7,1724111999999,1322712.417,9068,990605.2,645707.3433,0,2024-08-19
RENUSDT,1724025600000,0.04059,0.04292,0.04021,0.04214,27099219.0,1724111999999,1124592.2812,21284,12928904.0,537071.00068,0,2024-08-19
RVNUSDT,1724025600000,0.0155,0.0157,0.01523,0.01567,53924765.6,1724111999999,834301.063831,12428,27186360.8,421044.11125,0,2024-08-19
HBARUSDT,1724025600000,0.0531,0.0544,0.0523,0.0543,123233994.0,1724111999999,6548448.6541,44602,56868982.0,3023325.4952,0,2024-08-19
NKNUSDT,1724025600000,0.0616,0.0641,0.0605,0.0638,17668669.0,1724111999999,1106426.2604,10575,8934543.0,560282.3838,0,2024-08-19
STXUSDT,1724025600000,1.421,1.483,1.395,1.475,6762166.6,1724111999999,9699576.4214,47441,3547866.7,5094310.9617,0,2024-08-19
KAVAUSDT,1724025600000,0.3145,0.3271,0.3117,0.3262,5009630.2,1724111999999,1612230.47789,13919,2695764.2,868386.87177,0,2024-08-19
ARPAUSDT,1724025600000,0.0344,0.0514,0.03421,0.0404,1141993396.3,1724111999999,49759730.146374,479732,570043011.3,24800316.713661,0,2024-08-19
IOTXUSDT,1724025600000,0.03318,0.03527,0.03269,0.03443,90294500.0,1724111999999,3053124.36027,30095,44876418.0,1518716.93742,0,2024-08-19
RLCUSDT,1724025600000,1.474,1.639,1.434,1.57,1714084.7,1724111999999,2673108.7758,31811,813993.2,1268620.2559,0,2024-08-19
CTXCUSDT,1724025600000,0.1575,0.1605,0.1548,0.1588,7015479.0,1724111999999,1104041.3955,11055,3383829.0,532818.3912,0,2024-08-19
BCHUSDT,1724025600000,333.2,339.7,330.4,338.0,23449.473,1724111999999,7836412.2581,47689,11155.708,3728054.0485,0,2024-08-19
TROYUSDT,1724025600000,0.00137,0.001489,0.001344,0.001462,710221364.0,1724111999999,1009010.619027,19743,350920877.0,499214.513798,0,2024-08-19
VITEUSDT,1724025600000,0.01185,0.0125,0.0117,0.01244,93958523.6,1724111999999,1144773.902629,15652,46611927.1,568647.764691,0,2024-08-19
FTTUSDT,1724025600000,1.2851,1.31,1.2592,1.2822,1296322.29,1724111999999,1656990.890204,19628,610812.76,781177.578791,0,2024-08-19
EURUSDT,1724025600000,1.1013,1.1076,1.1011,1.1075,23282226.9,1724111999999,25706912.98892,45810,10917054.9,12053711.71176,0,2024-08-19
OGNUSDT,1724025600000,0.0767,0.0808,0.0757,0.0806,19403237.0,1724111999999,1517865.8887,13820,10413620.0,815003.4454,0,2024-08-19
WRXUSDT,1724025600000,0.1412,0.153,0.1392,0.1466,8184195.8,1724111999999,1186341.58603,35555,4285949.0,622944.80964,0,2024-08-19
