Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date GMT+0
BTCUSDT,1675036800000,23743.37,23800.51,22500.0,22826.15,302405.90121,1675123199999,7020727239.059652,7790224,149096.53066,3461492907.1726055,0,2023-01-30
ETHUSDT,1675036800000,1644.73,1647.53,1535.0,1566.2,595055.3281,1675123199999,945663093.9181169,783703,287321.0407,456477684.329537,0,2023-01-30
BNBUSDT,1675036800000,317.1,320.8,302.0,307.2,413716.212,1675123199999,128037381.1261,310394,202140.896,62572558.2932,0,2023-01-30
NEOUSDT,1675036800000,8.39,8.47,7.89,8.06,834496.23,1675123199999,6829629.4684,37009,406176.15,3327759.2609,0,2023-01-30
LTCUSDT,1675036800000,94.86,96.06,88.3,91.37,987138.227,1675123199999,91357814.49006,192812,473741.488,43850043.7289,0,2023-01-30
QTUMUSDT,1675036800000,2.723,2.859,2.618,2.749,2577640.8,1675123199999,7113158.2621,38997,1394385.4,3852456.9175,0,2023-01-30
ADAUSDT,1675036800000,0.3976,0.3982,0.3652,0.3725,134336665.0,1675123199999,51134971.00427,124556,61467635.2,23401299.29,0,2023-01-30
XRPUSDT,1675036800000,0.4135,0.4222,0.386,0.3934,433795926.0,1675123199999,174875593.0656,205691,213480378.0,86141832.6055,0,2023-01-30
EOSUSDT,1675036800000,1.115,1.144,1.023,1.049,12964584.2,1675123199999,13957211.7987,45213,6286812.0,6769939.1504,0,2023-01-30
IOTAUSDT,1675036800000,0.2409,0.2422,0.2177,0.2237,13768655.0,1675123199999,3151140.4973,22341,6810782.0,1557529.3334,0,2023-01-30
XLMUSDT,1675036800000,0.0945,0.0949,0.0881,0.0899,67954397.0,1675123199999,6210336.5872,21585,30543702.0,2786240.6115,0,2023-01-30
ONTUSDT,1675036800000,0.2195,0.2242,0.2018,0.2067,15543767.0,1675123199999,3321721.5872,15437,7294359.0,1562192.1577,0,2023-01-30
TRXUSDT,1675036800000,0.06376,0.06501,0.06138,0.06227,587325347.8,1675123199999,36778157.425592,114876,281519424.7,17642912.625222,0,2023-01-30
ETCUSDT,1675036800000,22.75,23.56,20.8,21.35,1864366.16,1675123199999,41242689.0224,86277,871787.16,19312596.6517,0,2023-01-30
ICXUSDT,1675036800000,0.2222,0.2234,0.1975,0.2032,13823939.1,1675123199999,2909728.41846,16571,6366988.7,1341047.9787,0,2023-01-30
NULSUSDT,1675036800000,0.2594,0.2598,0.2357,0.2386,3273927.0,1675123199999,810986.8492,5291,1150028.0,285012.4513,0,2023-01-30
VETUSDT,1675036800000,0.02458,0.02466,0.02252,0.02305,464030579.5,1675123199999,10863476.014579,48209,222997973.1,5220879.722627,0,2023-01-30
LINKUSDT,1675036800000,7.373,7.439,6.748,6.914,5014854.05,1675123199999,35325388.07901,109497,2297937.56,16179824.67365,0,2023-01-30
WAVESUSDT,1675036800000,2.719,2.754,2.381,2.451,6814425.38,1675123199999,17416939.02169,62689,3230609.01,8257039.4341,0,2023-01-30
ONGUSDT,1675036800000,0.3097,0.345,0.2881,0.2964,3874849.0,1675123199999,1238516.7286,8811,1825840.0,586153.031,0,2023-01-30
HOTUSDT,1675036800000,0.002204,0.002217,0.001961,0.002068,2025983354.0,1675123199999,4244234.12381,24726,963609366.0,2019076.063555,0,2023-01-30
ZILUSDT,1675036800000,0.02955,0.0297,0.02579,0.02671,344094830.4,1675123199999,9519663.519931,40625,157698875.8,4360068.566986,0,2023-01-30
ZRXUSDT,1675036800000,0.2355,0.2363,0.2091,0.2144,6685445.0,1675123199999,1480054.4,10574,2992254.0,662185.4896,0,2023-01-30
FETUSDT,1675036800000,0.2891,0.2892,0.2588,0.2659,48130992.0,1675123199999,13092699.2475,58911,22331718.0,6077454.6516,0,2023-01-30
BATUSDT,1675036800000,0.2728,0.2734,0.2406,0.2461,14709609.0,1675123199999,3758899.756,22958,6628095.0,1689911.1449,0,2023-01-30
XMRUSDT,1675036800000,186.1,186.9,174.4,175.9,67407.34,1675123199999,12236142.6942,42197,28210.774,5126214.5201,0,2023-01-30
ZECUSDT,1675036800000,47.1,47.4,43.6,44.6,157015.152,1675123199999,7117228.192,20498,73357.847,3328796.7062,0,2023-01-30
IOSTUSDT,1675036800000,0.01034,0.01042,0.00907,0.00938,339700473.0,1675123199999,3252438.00875,19282,175506022.0,1679656.27197,0,2023-01-30
CELRUSDT,1675036800000,0.01853,0.01929,0.01808,0.01899,374598050.2,1675123199999,7010300.693296,33483,182806332.1,3421997.144754,0,2023-01-30
DASHUSDT,1675036800000,56.68,60.8,55.43,59.22,326858.459,1675123199999,19093422.35877,74099,155545.217,9092604.62473,0,2023-01-30
OMGUSDT,1675036800000,1.529,1.536,1.358,1.379,1466431.2,1675123199999,2103659.0562,13362,688476.7,985368.8246,0,2023-01-30
THETAUSDT,1675036800000,1.108,1.123,0.982,1.015,6741693.6,1675123199999,7072932.8896,42019,2962441.4,3106909.1639,0,2023-01-30
ENJUSDT,1675036800000,0.4725,0.4765,0.419,0.4371,15078301.1,1675123199999,6685558.52107,36597,6795875.0,3012501.36861,0,2023-01-30
MATICUSDT,1675036800000,1.1782,1.18,1.065,1.0875,105616115.3,1675123199999,117923312.61559,293227,50557531.1,56371621.96486,0,2023-01-30
ATOMUSDT,1675036800000,13.805,14.0,12.75,13.073,2189288.86,1675123199999,29240273.82196,106091,1064898.11,14228003.0406,0,2023-01-30
TFUELUSDT,1675036800000,0.0569,0.0572,0.0503,0.0519,38434718.0,1675123199999,2042112.2389,11793,18386585.0,975204.54,0,2023-01-30
ONEUSDT,1675036800000,0.02306,0.02348,0.02127,0.02191,756471472.7,1675123199999,16885380.190881,89256,362161403.6,8078697.249662,0,2023-01-30
FTMUSDT,1675036800000,0.4905,0.4933,0.4529,0.4824,181689904.0,1675123199999,85843259.1376,238239,86703467.0,40963218.365,0,2023-01-30
ALGOUSDT,1675036800000,0.2616,0.2624,0.2352,0.2393,54848747.0,1675123199999,13519040.4246,47392,25661848.0,6322727.6129,0,2023-01-30
DOGEUSDT,1675036800000,0.09009,0.09286,0.0845,0.08837,1972615630.0,1675123199999,173498545.0761,328676,979703191.0,86148870.99031,0,2023-01-30
DUSKUSDT,1675036800000,0.151,0.167,0.1323,0.1394,92388893.0,1675123199999,14049316.7455,92160,44860412.0,6832430.4048,0,2023-01-30
ANKRUSDT,1675036800000,0.02763,0.02785,0.02428,0.02505,190570502.6,1675123199999,4955608.115756,23709,91515329.1,2380626.454739,0,2023-01-30
WINUSDT,1675036800000,9.42e-05,9.48e-05,8.77e-05,8.93e-05,11788317738.0,1675123199999,1080530.1562286,7104,4803305263.0,440473.9757926,0,2023-01-30
COSUSDT,1675036800000,0.00599,0.0061,0.00556,0.00564,106169306.2,1675123199999,619942.815323,5574,43553144.1,254769.300173,0,2023-01-30
COCOSUSDT,1675036800000,0.673,0.7323,0.6495,0.6563,5190221.0,1675123199999,3531652.4636,17231,2319903.0,1583956.3799,0,2023-01-30
MTLUSDT,1675036800000,1.002,1.022,0.885,0.903,2142044.0,1675123199999,2032472.1187,13437,829763.5,788430.7834,0,2023-01-30
TOMOUSDT,1675036800000,0.397,0.4006,0.3734,0.3911,3091926.0,1675123199999,1203550.89451,11551,1572092.3,612868.50807,0,2023-01-30
PERLUSDT,1675036800000,0.01828,0.02638,0.01826,0.0197,693177186.2,1675123199999,15093541.136861,96960,342919621.8,7492559.588445,0,2023-01-30
DENTUSDT,1675036800000,0.000973,0.000977,0.0009,0.000934,2170320128.0,1675123199999,2034572.770313,12840,995374008.0,934216.810143,0,2023-01-30
KEYUSDT,1675036800000,0.003731,0.00465,0.00365,0.003713,1815851779.0,1675123199999,7427970.455913,44257,867077530.0,3563628.38203,0,2023-01-30
DOCKUSDT,1675036800000,0.0198,0.01988,0.01824,0.01855,25249142.0,1675123199999,481486.64753,3165,10873879.0,207293.37052,0,2023-01-30
WANUSDT,1675036800000,0.2166,0.2211,0.2,0.2028,3203837.0,1675123199999,677677.3738,4818,1340763.0,284167.6945,0,2023-01-30
FUNUSDT,1675036800000,0.00724,0.0073,0.00686,0.00694,58312769.0,1675123199999,413130.78327,5970,28810691.0,204105.63993,0,2023-01-30
CHZUSDT,1675036800000,0.143,0.1466,0.1286,0.1311,204461361.0,1675123199999,27921050.6165,79013,94851124.0,12964511.4463,0,2023-01-30
BANDUSDT,1675036800000,2.073,2.159,1.886,2.069,5215706.3,1675123199999,10566431.772,55129,2563994.1,5201566.1435,0,2023-01-30
BUSDUSDT,1675036800000,1.0,1.0001,0.9999,0.9999,926388894.0,1675123199999,926357617.9349,704490,512407071.0,512408950.9004,0,2023-01-30
XTZUSDT,1675036800000,1.159,1.162,1.031,1.057,5031168.6,1675123199999,5523106.9107,25461,2318804.2,2546303.4087,0,2023-01-30
RENUSDT,1675036800000,0.090267,0.091288,0.080302,0.083413,17238654.0,1675123199999,1476260.364854,11469,8479075.0,727151.398931,0,2023-01-30
RVNUSDT,1675036800000,0.03053,0.031,0.02741,0.02802,151727911.8,1675123199999,4410229.697293,27232,68417608.0,1991238.75683,0,2023-01-30
HBARUSDT,1675036800000,0.0695,0.07,0.0627,0.064,115869640.0,1675123199999,7625093.0527,29044,53359878.0,3512899.3867,0,2023-01-30
NKNUSDT,1675036800000,0.1084,0.1089,0.0971,0.1016,19014306.0,1675123199999,1970232.3842,12273,8599473.0,890475.4901,0,2023-01-30
STXUSDT,1675036800000,0.294,0.297,0.264,0.269,3817260.1,1675123199999,1059884.1689,6126,1634483.1,454152.0743,0,2023-01-30
KAVAUSDT,1675036800000,1.033,1.038,0.919,0.942,9640600.3,1675123199999,9449845.3359,36282,4713268.7,4621917.9804,0,2023-01-30
ARPAUSDT,1675036800000,0.03719,0.03845,0.03405,0.03539,130143979.7,1675123199999,4804274.622989,26748,62171811.3,2300018.923223,0,2023-01-30
IOTXUSDT,1675036800000,0.03032,0.03066,0.02708,0.02803,95576862.0,1675123199999,2746159.48331,18604,42275318.0,1214099.70675,0,2023-01-30
RLCUSDT,1675036800000,1.811,1.827,1.584,1.651,3009239.7,1675123199999,5125460.0859,21143,1415606.4,2409406.6584,0,2023-01-30
CTXCUSDT,1675036800000,0.2345,0.2355,0.2015,0.2068,17082772.0,1675123199999,3755792.3569,17178,6592037.0,1447441.192,0,2023-01-30
BCHUSDT,1675036800000,136.5,136.7,127.4,131.2,62216.158,1675123199999,8204351.8398,32211,30372.142,4004763.9,0,2023-01-30
TROYUSDT,1675036800000,0.003194,0.003367,0.002963,0.003049,538291996.0,1675123199999,1711076.931589,10481,270446283.0,862911.458873,0,2023-01-30
VITEUSDT,1675036800000,0.02551,0.02628,0.02302,0.02371,48019671.6,1675123199999,1186584.456725,9042,23068671.0,570430.693374,0,2023-01-30
EURUSDT,1675036800000,1.0869,1.0904,1.0831,1.084,26459102.1,1675123199999,28759401.88806,68658,11374913.8,12363644.73008,0,2023-01-30
OGNUSDT,1675036800000,0.1336,0.1351,0.1193,0.1215,24614496.0,1675123199999,3129072.0848,15819,10665105.0,1354633.9228,0,2023-01-30
DREPUSDT,1675036800000,0.3643,0.4091,0.3452,0.3494,8382873.0,1675123199999,3136487.1569,18740,4101996.0,1541467.5219,0,2023-01-30
WRXUSDT,1675036800000,0.1993,0.2117,0.1842,0.188,19389330.3,1675123199999,3854083.53552,31232,9286647.4,1857071.58158,0,2023-01-30
BTSUSDT,1675036800000,0.01195,0.01275,0.01111,0.01136,152509814.2,1675123199999,1816791.782933,19935,71902346.3,859177.531258,0,2023-01-30
LSKUSDT,1675036800000,0.983,0.983,0.892,0.903,582456.6,1675123199999,542229.7066,3518,207361.3,191978.86,0,2023-01-30
BNTUSDT,1675036800000,0.439,0.445,0.405,0.413,1830164.4,1675123199999,776570.1089,4606,853459.3,363294.9101,0,2023-01-30
LTOUSDT,1675036800000,0.0978,0.0985,0.0886,0.0899,8613161.0,1675123199999,805927.2273,5562,4267100.0,401175.7739,0,2023-01-30
AIONUSDT,1675036800000,0.03406,0.03512,0.03101,0.03205,42011570.0,1675123199999,1395438.72022,10201,19384565.0,647794.56026,0,2023-01-30
MBLUSDT,1675036800000,0.003264,0.003278,0.002953,0.002999,234985605.0,1675123199999,721411.4721,6452,106059718.0,325205.908971,0,2023-01-30
