Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date GMT+0
BTCUSDT,1621555200000,40525.39,42200.0,33488.0,37252.01,202100.888258,1621641599999,7713346610.274128,3993336,94002.431409,3591749386.7876506,0,2021-05-21
ETHUSDT,1621555200000,2767.87,2938.54,2101.0,2430.98,2727031.93514,1621641599999,6898701128.841128,3676164,1340165.22786,3393349822.1647105,0,2021-05-21
BNBUSDT,1621555200000,391.37,415.71,274.0,326.01,8827845.3858,1621641599999,3021752642.8292913,2738049,4421100.4944,1516573333.358426,0,2021-05-21
NEOUSDT,1621555200000,71.57,73.3,50.03,57.851,2462209.318,1621641599999,149688365.646538,219865,1243031.042,75558559.888728,0,2021-05-21
LTCUSDT,1621555200000,210.66,219.12,156.56,179.97,2998819.79591,1621641599999,567897537.0202928,801082,1493045.63294,283051595.4828712,0,2021-05-21
QTUMUSDT,1621555200000,13.592,14.07,9.648,11.104,8240288.935,1621641599999,99181714.168204,176183,4145401.099,49980497.085262,0,2021-05-21
ADAUSDT,1621555200000,1.8002,1.87,1.32,1.5493,1158826530.96,1621641599999,1851576033.778438,2368984,565125628.75,904149179.459743,0,2021-05-21
XRPUSDT,1621555200000,1.1802,1.2194,0.8641,1.0062,1813489499.17,1621641599999,1910760508.201792,1950848,881418036.04,931147311.551281,0,2021-05-21
EOSUSDT,1621555200000,6.6419,6.9229,4.8378,5.5587,94702939.98,1621641599999,555442142.549261,692810,47435128.09,278420331.105473,0,2021-05-21
TUSDUSDT,1621555200000,0.9978,1.0,0.995,0.9981,38568599.43,1621641599999,38506761.312758,26882,19955924.77,19924561.159287,0,2021-05-21
IOTAUSDT,1621555200000,1.3229,1.4026,0.912,1.1072,72100305.46,1621641599999,84737086.670311,210604,33329602.47,39254335.308983,0,2021-05-21
XLMUSDT,1621555200000,0.4947,0.51315,0.37014,0.41884,402186161.2,1621641599999,182160559.816064,339316,200600472.5,90954068.212817,0,2021-05-21
ONTUSDT,1621555200000,1.6428,1.6996,1.0629,1.2773,153084346.81,1621641599999,209446686.559983,530142,77307454.89,105844017.197305,0,2021-05-21
TRXUSDT,1621555200000,0.08924,0.0932,0.07108,0.0779,3553563417.2,1621641599999,295036481.23233,501795,1746447201.7,145346951.507457,0,2021-05-21
ETCUSDT,1621555200000,73.73,78.23,54.389,64.167,9461101.864,1621641599999,634220147.87114,779940,4636610.386,310964119.095398,0,2021-05-21
ICXUSDT,1621555200000,1.39,1.48,1.0703,1.2715,21859901.54,1621641599999,27888141.752229,78059,11322069.29,14488337.386138,0,2021-05-21
NULSUSDT,1621555200000,0.6705,0.7,0.5442,0.5938,7135894.89,1621641599999,4503528.820604,24972,3572691.76,2249529.927931,0,2021-05-21
VETUSDT,1621555200000,0.13074,0.13923,0.09,0.10813,5337110951.8,1621641599999,607162682.115775,907780,2692123499.1,306958489.920834,0,2021-05-21
PAXUSDT,1621555200000,0.9978,1.0103,0.9962,0.9983,8893055.02,1621641599999,8880976.451078,6522,3466594.21,3461596.470927,0,2021-05-21
USDCUSDT,1621555200000,0.9978,1.0079,0.9964,0.9987,449099364.49,1621641599999,448599395.79876703,123051,222364634.99,222122147.695367,0,2021-05-21
LINKUSDT,1621555200000,30.633,31.945,22.019,25.546,16394437.613,1621641599999,441531414.63277,646448,8013638.339,216039850.602997,0,2021-05-21
WAVESUSDT,1621555200000,24.332,26.8,17.819,20.726,2257127.682,1621641599999,49881304.655983,142150,1109031.628,24561907.545438,0,2021-05-21
BTTUSDT,1621555200000,0.004304,0.0049404,0.003514,0.0040287,38199374920.0,1621641599999,163354733.5185592,401928,19393497783.0,83072435.6734958,0,2021-05-21
ONGUSDT,1621555200000,2.4318,3.3,1.1689,1.3506,154636997.74,1621641599999,278056082.978299,552535,77220144.5,139343831.595835,0,2021-05-21
HOTUSDT,1621555200000,0.008498,0.009087,0.00645,0.007614,9552414947.0,1621641599999,75461615.121894,203727,4787265332.0,37863920.887549,0,2021-05-21
ZILUSDT,1621555200000,0.14339,0.14601,0.09694,0.1138,490348416.3,1621641599999,60209408.649353,172314,249233972.8,30720302.149265,0,2021-05-21
ZRXUSDT,1621555200000,1.1573,1.2225,0.8932,1.0341,20667482.71,1621641599999,22878439.812541,73035,10972584.28,12175311.304018,0,2021-05-21
FETUSDT,1621555200000,0.34722,0.36337,0.25,0.29189,49673834.3,1621641599999,15466645.968864,49296,23756657.8,7420240.460698,0,2021-05-21
BATUSDT,1621555200000,0.8755,0.9193,0.6486,0.7547,39722671.48,1621641599999,31738668.748279,122989,20723180.12,16590828.9186,0,2021-05-21
XMRUSDT,1621555200000,280.7,329.99,227.02,256.2,805091.39058,1621641599999,229114311.6057709,491343,405324.95699,115354711.2554974,0,2021-05-21
ZECUSDT,1621555200000,182.32,191.84,136.23,156.26,932995.38533,1621641599999,153285610.0918564,435781,474111.97469,77907445.3111026,0,2021-05-21
IOSTUSDT,1621555200000,0.036346,0.04343,0.028081,0.034814,2201976850.0,1621641599999,78324726.693911,177854,1111328753.0,39483143.799645,0,2021-05-21
CELRUSDT,1621555200000,0.04895,0.05101,0.03268,0.03814,1331195682.5,1621641599999,57670406.201016,166588,646535996.4,28014555.881722,0,2021-05-21
DASHUSDT,1621555200000,226.97,235.57,165.19,188.34,384233.69396,1621641599999,76656894.919412,167829,190724.68843,38115973.5836625,0,2021-05-21
NANOUSDT,1621555200000,8.9261,9.3918,6.1,7.4297,6084571.76,1621641599999,47089262.489454,134785,3015448.47,23376092.122599,0,2021-05-21
OMGUSDT,1621555200000,6.6522,7.2756,4.8071,5.6492,14348281.54,1621641599999,87811157.061816,316429,7313274.0,44760111.554146,0,2021-05-21
THETAUSDT,1621555200000,7.286,7.759,5.431,6.362,30961982.997,1621641599999,203066144.03146,510832,15250587.252,100050805.7483,0,2021-05-21
ENJUSDT,1621555200000,1.4837,1.593,1.0561,1.2778,45740723.65,1621641599999,61458250.450943,153635,22846139.53,30713274.599104,0,2021-05-21
MITHUSDT,1621555200000,0.05213,0.05543,0.03671,0.04295,106809699.2,1621641599999,4988538.881222,26734,51414493.7,2410198.596639,0,2021-05-21
MATICUSDT,1621555200000,1.82785,1.97,1.19222,1.4835,925730809.1,1621641599999,1464737369.523771,2086897,451020215.4,714984033.929631,0,2021-05-21
ATOMUSDT,1621555200000,16.918,17.561,11.353,13.572,7099077.196,1621641599999,102363360.540353,244235,3469061.977,50061298.220387,0,2021-05-21
TFUELUSDT,1621555200000,0.28757,0.30297,0.20922,0.25489,92370256.7,1621641599999,23920299.441135,55019,46090133.2,11938588.211444,0,2021-05-21
ONEUSDT,1621555200000,0.12138,0.1287,0.084,0.10445,909213498.2,1621641599999,98089510.356589,257986,450269451.7,48565188.379771,0,2021-05-21
FTMUSDT,1621555200000,0.4483,0.47999,0.305,0.35278,291402144.9,1621641599999,112858866.784214,227704,139742439.1,54218309.752199,0,2021-05-21
ALGOUSDT,1621555200000,1.1086,1.1472,0.8441,0.9736,50329798.21,1621641599999,50912188.224008,126561,24193872.58,24529935.795919,0,2021-05-21
GTOUSDT,1621555200000,0.0391,0.04074,0.02712,0.03196,99337308.6,1621641599999,3338267.586616,16182,49130323.9,1650140.024881,0,2021-05-21
DOGEUSDT,1621555200000,0.39747,0.41198,0.31357,0.35778,5243254333.5,1621641599999,1919714241.4557552,2152582,2572390803.9,943375427.330037,0,2021-05-21
DUSKUSDT,1621555200000,0.1567,0.1692,0.115,0.1358,18910430.97,1621641599999,2695026.920858,13877,9198961.57,1314959.059555,0,2021-05-21
ANKRUSDT,1621555200000,0.12522,0.14317,0.1017,0.12151,361926483.8,1621641599999,45611078.35835,131974,188951846.7,23842246.2664,0,2021-05-21
WINUSDT,1621555200000,0.0006285,0.0006688,0.0004528,0.0005201,92525157819.0,1621641599999,51395987.8062964,202975,44331295941.0,24689741.2120868,0,2021-05-21
COSUSDT,1621555200000,0.01684,0.01777,0.01231,0.01409,260693449.3,1621641599999,3957158.482548,20507,123329566.9,1872806.314539,0,2021-05-21
COCOSUSDT,1621555200000,0.6076,0.6409,0.3999,0.4712,5106334.03,1621641599999,2612977.678236,14669,2474734.58,1271345.210629,0,2021-05-21
MTLUSDT,1621555200000,2.58,3.0381,2.084,2.6042,6109150.18,1621641599999,16089195.316612,96079,3133443.35,8241280.200826,0,2021-05-21
TOMOUSDT,1621555200000,1.5696,1.6195,1.202,1.3745,6400593.26,1621641599999,9180646.028656,37974,2826051.12,4069620.210722,0,2021-05-21
PERLUSDT,1621555200000,0.07678,0.08187,0.0541,0.0626,57473926.8,1621641599999,4055458.08761,20348,28227778.1,1999147.909705,0,2021-05-21
DENTUSDT,1621555200000,0.0043605,0.0046624,0.003095,0.0037934,14019743976.0,1621641599999,54759234.6314764,172753,7136799953.0,27886229.7487911,0,2021-05-21
MFTUSDT,1621555200000,0.00993,0.014,0.009339,0.010905,1366785203.0,1621641599999,15561176.924644,66814,691430060.0,7868253.330116,0,2021-05-21
KEYUSDT,1621555200000,0.009065,0.009649,0.007004,0.008009,506066396.0,1621641599999,4235065.915596,21940,238302330.0,1999468.77143,0,2021-05-21
DOCKUSDT,1621555200000,0.062776,0.06482,0.0442,0.05208,47466166.0,1621641599999,2590262.164777,10536,25314430.0,1386526.839062,0,2021-05-21
WANUSDT,1621555200000,1.0878,1.1417,0.8149,0.9574,6123549.49,1621641599999,6045939.908319,23758,3103485.94,3065913.001864,0,2021-05-21
FUNUSDT,1621555200000,0.02564,0.026374,0.021416,0.022789,209677586.0,1621641599999,5011323.821408,12868,92425985.0,2217623.629966,0,2021-05-21
CVCUSDT,1621555200000,0.45955,0.53155,0.30359,0.35973,88290405.6,1621641599999,36342515.907366,167105,45192518.2,18598821.674361,0,2021-05-21
CHZUSDT,1621555200000,0.30824,0.33799,0.23399,0.27952,592784269.4,1621641599999,172817648.030855,389066,302417457.0,88220251.67894,0,2021-05-21
BANDUSDT,1621555200000,10.255,10.73,7.153,8.448,3310639.839,1621641599999,29921194.169198,92694,1671114.868,15107909.207805,0,2021-05-21
BUSDUSDT,1621555200000,0.9979,0.9994,0.9973,0.9983,2464998242.99,1621641599999,2461022840.025449,935413,1208197259.94,1206283372.600967,0,2021-05-21
BEAMUSDT,1621555200000,0.9713,1.0157,0.6729,0.7793,6692298.48,1621641599999,5688356.177006,25038,3107260.72,2650830.79256,0,2021-05-21
XTZUSDT,1621555200000,4.1824,4.3961,3.0919,3.6721,19521821.51,1621641599999,73746691.718134,213680,9739214.03,36758989.204423,0,2021-05-21
RENUSDT,1621555200000,0.55284,0.59177,0.3958,0.46188,21599623.0,1621641599999,10709750.773508,48717,10876622.8,5391443.241126,0,2021-05-21
RVNUSDT,1621555200000,0.09863,0.10325,0.071,0.08468,271881687.9,1621641599999,24034584.743426,81349,139700066.8,12364761.932982,0,2021-05-21
